mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.501,2.0060509176964456,57.76035189628601,False,1,c2748_00002,2023-08-22_09-48-17,1692697697,57.76035189628601,1660651,dl,141.68.100.65,57.76035189628601,1
0.664,1.1889368929761521,43.03448557853699,False,2,c2748_00002,2023-08-22_09-49-01,1692697741,100.794837474823,1660651,dl,141.68.100.65,100.794837474823,2
0.7210833333333333,0.8510398433563557,43.746455907821655,False,3,c2748_00002,2023-08-22_09-49-44,1692697784,144.54129338264465,1660651,dl,141.68.100.65,144.54129338264465,3
0.74575,0.7310508465830315,43.42794346809387,False,4,c2748_00002,2023-08-22_09-50-28,1692697828,187.96923685073853,1660651,dl,141.68.100.65,187.96923685073853,4
0.7613333333333333,0.6721872432117767,47.160202980041504,False,5,c2748_00002,2023-08-22_09-51-15,1692697875,235.12943983078003,1660651,dl,141.68.100.65,235.12943983078003,5
0.7710833333333333,0.6386271569323032,47.25930833816528,False,6,c2748_00002,2023-08-22_09-52-02,1692697922,282.3887481689453,1660651,dl,141.68.100.65,282.3887481689453,6
0.7784166666666666,0.610910547540543,48.58011794090271,False,7,c2748_00002,2023-08-22_09-52-51,1692697971,330.968866109848,1660651,dl,141.68.100.65,330.968866109848,7
0.7894166666666667,0.5899221312175406,44.73712182044983,False,8,c2748_00002,2023-08-22_09-53-35,1692698015,375.70598793029785,1660651,dl,141.68.100.65,375.70598793029785,8
0.7940833333333334,0.5732613256637086,44.02374458312988,False,9,c2748_00002,2023-08-22_09-54-19,1692698059,419.72973251342773,1660651,dl,141.68.100.65,419.72973251342773,9
0.8009166666666667,0.5606542608522355,50.62335014343262,False,10,c2748_00002,2023-08-22_09-55-10,1692698110,470.35308265686035,1660651,dl,141.68.100.65,470.35308265686035,10
0.804,0.5472885620720843,43.79868245124817,False,11,c2748_00002,2023-08-22_09-55-54,1692698154,514.1517651081085,1660651,dl,141.68.100.65,514.1517651081085,11
0.8085,0.534378116910762,43.15351319313049,False,12,c2748_00002,2023-08-22_09-56-37,1692698197,557.305278301239,1660651,dl,141.68.100.65,557.305278301239,12
0.8126666666666666,0.5213046073913574,48.551201581954956,False,13,c2748_00002,2023-08-22_09-57-26,1692698246,605.856479883194,1660651,dl,141.68.100.65,605.856479883194,13
0.81875,0.5123518905107011,44.426234006881714,False,14,c2748_00002,2023-08-22_09-58-10,1692698290,650.2827138900757,1660651,dl,141.68.100.65,650.2827138900757,14
0.8218333333333333,0.5012951358518702,43.52472162246704,False,15,c2748_00002,2023-08-22_09-58-54,1692698334,693.8074355125427,1660651,dl,141.68.100.65,693.8074355125427,15
