mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.30741666666666667,2.2220073152095714,30.124062061309814,False,1,71a80_00011,2023-08-22_11-35-25,1692704125,30.124062061309814,2316210,dl,141.68.100.65,30.124062061309814,1
0.42866666666666664,2.0791124181544527,23.027281284332275,False,2,71a80_00011,2023-08-22_11-35-48,1692704148,53.15134334564209,2316210,dl,141.68.100.65,53.15134334564209,2
0.5136666666666667,1.7658135548551033,23.137991666793823,False,3,71a80_00011,2023-08-22_11-36-11,1692704171,76.28933501243591,2316210,dl,141.68.100.65,76.28933501243591,3
0.6256666666666667,1.3643121871542423,25.18607759475708,False,4,71a80_00011,2023-08-22_11-36-36,1692704196,101.475412607193,2316210,dl,141.68.100.65,101.475412607193,4
0.6684166666666667,1.0952071395326168,23.171881914138794,False,5,71a80_00011,2023-08-22_11-36-59,1692704219,124.64729452133179,2316210,dl,141.68.100.65,124.64729452133179,5
0.7010833333333333,0.944758711977208,22.375962018966675,False,6,71a80_00011,2023-08-22_11-37-21,1692704241,147.02325654029846,2316210,dl,141.68.100.65,147.02325654029846,6
0.709,0.8556480502828638,26.686492681503296,False,7,71a80_00011,2023-08-22_11-37-48,1692704268,173.70974922180176,2316210,dl,141.68.100.65,173.70974922180176,7
0.7275,0.7957739722221455,23.183131456375122,False,8,71a80_00011,2023-08-22_11-38-11,1692704291,196.89288067817688,2316210,dl,141.68.100.65,196.89288067817688,8
0.7415833333333334,0.7532081648390344,23.102110624313354,False,9,71a80_00011,2023-08-22_11-38-34,1692704314,219.99499130249023,2316210,dl,141.68.100.65,219.99499130249023,9
0.7525,0.720218800483866,24.92940402030945,False,10,71a80_00011,2023-08-22_11-38-59,1692704339,244.92439532279968,2316210,dl,141.68.100.65,244.92439532279968,10
0.7618333333333334,0.6913455058919623,21.08806562423706,False,11,71a80_00011,2023-08-22_11-39-20,1692704360,266.01246094703674,2316210,dl,141.68.100.65,266.01246094703674,11
0.7693333333333333,0.6666799117910102,23.11376118659973,False,12,71a80_00011,2023-08-22_11-39-44,1692704384,289.1262221336365,2316210,dl,141.68.100.65,289.1262221336365,12
0.7771666666666667,0.6452816049469278,23.215113639831543,False,13,71a80_00011,2023-08-22_11-40-07,1692704407,312.341335773468,2316210,dl,141.68.100.65,312.341335773468,13
0.7825,0.6308034718670743,25.450626850128174,False,14,71a80_00011,2023-08-22_11-40-32,1692704432,337.7919626235962,2316210,dl,141.68.100.65,337.7919626235962,14
0.78925,0.6111565964653137,22.233423233032227,False,15,71a80_00011,2023-08-22_11-40-54,1692704454,360.0253858566284,2316210,dl,141.68.100.65,360.0253858566284,15
