,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
27,0.81025,0.536629466,12.8666517735,False,8,a4f07_00068,2023-08-25_10-04-38,1692957878000,98.9802975655,662119,dl,141.68.100.65,98.9802975655,8,10,0.0028599567,128,64
28,0.817,0.5190365219,12.8903970718,False,9,a4f07_00068,2023-08-25_10-04-51,1692957891000,111.8706946373,662119,dl,141.68.100.65,111.8706946373,9,10,0.0028599567,128,64
29,0.8170833333,0.5167533822,11.2640702724,False,10,a4f07_00068,2023-08-25_10-05-03,1692957903000,123.1347649097,662119,dl,141.68.100.65,123.1347649097,10,10,0.0028599567,128,64
30,0.62525,1.4636907385,128.5851130486,False,1,a4f07_00091,2023-08-25_11-29-13,1692962953000,128.5851130486,2015667,dl,141.68.100.65,128.5851130486,1,15,0.0004568374,16,256
31,0.7420833333,0.7570070738,145.383680582,False,2,a4f07_00091,2023-08-25_11-31-38,1692963098000,273.9687936306,2015667,dl,141.68.100.65,273.9687936306,2,15,0.0004568374,16,256
32,0.76625,0.6547409111,132.9576888084,False,3,a4f07_00091,2023-08-25_11-33-51,1692963231000,406.926482439,2015667,dl,141.68.100.65,406.926482439,3,15,0.0004568374,16,256
33,0.784,0.6056136328,124.8537554741,False,4,a4f07_00091,2023-08-25_11-35-56,1692963356000,531.7802379131,2015667,dl,141.68.100.65,531.7802379131,4,15,0.0004568374,16,256
34,0.7954166667,0.5711894652,168.4515554905,False,5,a4f07_00091,2023-08-25_11-38-45,1692963525000,700.2317934036,2015667,dl,141.68.100.65,700.2317934036,5,15,0.0004568374,16,256
35,0.7961666667,0.5542860322,167.0651307106,False,6,a4f07_00091,2023-08-25_11-41-32,1692963692000,867.2969241142,2015667,dl,141.68.100.65,867.2969241142,6,15,0.0004568374,16,256
36,0.8011666667,0.5338844031,193.1985001564,False,7,a4f07_00091,2023-08-25_11-44-45,1692963885000,1060.4954242706,2015667,dl,141.68.100.65,1060.4954242706,7,15,0.0004568374,16,256
37,0.8175,0.5026880274,194.6186420918,False,8,a4f07_00091,2023-08-25_11-48-00,1692964080000,1255.1140663624,2015667,dl,141.68.100.65,1255.1140663624,8,15,0.0004568374,16,256
38,0.8233333333,0.4903088971,196.4119553566,False,9,a4f07_00091,2023-08-25_11-51-16,1692964276000,1451.526021719,2015667,dl,141.68.100.65,1451.526021719,9,15,0.0004568374,16,256
39,0.82925,0.4723030413,175.8125092983,False,10,a4f07_00091,2023-08-25_11-54-12,1692964452000,1627.3385310173,2015667,dl,141.68.100.65,1627.3385310173,10,15,0.0004568374,16,256
40,0.83525,0.4588390656,240.7583839893,False,11,a4f07_00091,2023-08-25_11-58-13,1692964693000,1868.0969150066,2015667,dl,141.68.100.65,1868.0969150066,11,15,0.0004568374,16,256
41,0.8415833333,0.4444389057,205.5877897739,False,12,a4f07_00091,2023-08-25_12-01-38,1692964898000,2073.6847047806,2015667,dl,141.68.100.65,2073.6847047806,12,15,0.0004568374,16,256
42,0.847,0.4332218393,179.3545060158,False,13,a4f07_00091,2023-08-25_12-04-37,1692965077000,2253.0392107964,2015667,dl,141.68.100.65,2253.0392107964,13,15,0.0004568374,16,256
43,0.8471666667,0.4243605178,171.8938150406,False,14,a4f07_00091,2023-08-25_12-07-29,1692965249000,2424.9330258369,2015667,dl,141.68.100.65,2424.9330258369,14,15,0.0004568374,16,256
44,0.84475,0.4289955772,206.5609869957,False,15,a4f07_00091,2023-08-25_12-10-56,1692965456000,2631.4940128326,2015667,dl,141.68.100.65,2631.4940128326,15,15,0.0004568374,16,256
45,0.2499166667,2.2282201977,30.2168152332,False,1,a4f07_00021,2023-08-25_08-25-57,1692951957000,30.2168152332,2644658,dl,141.68.100.65,30.2168152332,1,10,0.0002537456,32,32
46,0.4515833333,2.1023225034,23.1854815483,False,2,a4f07_00021,2023-08-25_08-26-20,1692951980000,53.4022967815,2644658,dl,141.68.100.65,53.4022967815,2,10,0.0002537456,32,32
47,0.5335833333,1.833929052,23.2800617218,False,3,a4f07_00021,2023-08-25_08-26-43,1692952003000,76.6823585033,2644658,dl,141.68.100.65,76.6823585033,3,10,0.0002537456,32,32
48,0.63975,1.3753055064,23.6354014874,False,4,a4f07_00021,2023-08-25_08-27-07,1692952027000,100.3177599907,2644658,dl,141.68.100.65,100.3177599907,4,10,0.0002537456,32,32
49,0.6809166667,1.0408687989,24.2967073917,False,5,a4f07_00021,2023-08-25_08-27-31,1692952051000,124.6144673824,2644658,dl,141.68.100.65,124.6144673824,5,10,0.0002537456,32,32
50,0.7155,0.8755253668,30.7132880688,False,6,a4f07_00021,2023-08-25_08-28-02,1692952082000,155.3277554512,2644658,dl,141.68.100.65,155.3277554512,6,10,0.0002537456,32,32
51,0.7374166667,0.7856244446,34.3377497196,False,7,a4f07_00021,2023-08-25_08-28-36,1692952116000,189.6655051708,2644658,dl,141.68.100.65,189.6655051708,7,10,0.0002537456,32,32
52,0.7481666667,0.7308902586,33.4741649628,False,8,a4f07_00021,2023-08-25_08-29-10,1692952150000,223.1396701336,2644658,dl,141.68.100.65,223.1396701336,8,10,0.0002537456,32,32
53,0.75725,0.6870820929,34.2424087524,False,9,a4f07_00021,2023-08-25_08-29-44,1692952184000,257.382078886,2644658,dl,141.68.100.65,257.382078886,9,10,0.0002537456,32,32
54,0.7651666667,0.6568487429,33.6872537136,False,10,a4f07_00021,2023-08-25_08-30-18,1692952218000,291.0693325996,2644658,dl,141.68.100.65,291.0693325996,10,10,0.0002537456,32,32
55,0.8205833333,0.4934776533,38.644192934,False,1,a4f07_00069,2023-08-25_10-06-24,1692957984000,38.644192934,709266,dl,141.68.100.65,38.644192934,1,20,0.0097781823,32,256
56,0.8631666667,0.390408458,45.7107806206,False,2,a4f07_00069,2023-08-25_10-07-10,1692958030000,84.3549735546,709266,dl,141.68.100.65,84.3549735546,2,20,0.0097781823,32,256
57,0.8749166667,0.3601948008,45.4185750484,False,3,a4f07_00069,2023-08-25_10-07-56,1692958076000,129.7735486031,709266,dl,141.68.100.65,129.7735486031,3,20,0.0097781823,32,256
58,0.86925,0.3646675233,40.434530735,False,4,a4f07_00069,2023-08-25_10-08-36,1692958116000,170.2080793381,709266,dl,141.68.100.65,170.2080793381,4,20,0.0097781823,32,256
59,0.8905,0.3099769448,41.0962688923,False,5,a4f07_00069,2023-08-25_10-09-17,1692958157000,211.3043482304,709266,dl,141.68.100.65,211.3043482304,5,20,0.0097781823,32,256
60,0.8905,0.3092028209,49.5993788242,False,6,a4f07_00069,2023-08-25_10-10-07,1692958207000,260.9037270546,709266,dl,141.68.100.65,260.9037270546,6,20,0.0097781823,32,256
61,0.8840833333,0.3241345888,68.5568733215,False,7,a4f07_00069,2023-08-25_10-11-15,1692958275000,329.4606003761,709266,dl,141.68.100.65,329.4606003761,7,20,0.0097781823,32,256
62,0.89675,0.2884013214,49.2401580811,False,8,a4f07_00069,2023-08-25_10-12-04,1692958324000,378.7007584572,709266,dl,141.68.100.65,378.7007584572,8,20,0.0097781823,32,256
63,0.9046666667,0.270844039,47.001349926,False,9,a4f07_00069,2023-08-25_10-12-52,1692958372000,425.7021083832,709266,dl,141.68.100.65,425.7021083832,9,20,0.0097781823,32,256
64,0.9085,0.2624988547,47.3027062416,False,10,a4f07_00069,2023-08-25_10-13-39,1692958419000,473.0048146248,709266,dl,141.68.100.65,473.0048146248,10,20,0.0097781823,32,256
65,0.90375,0.2645840727,47.7614786625,False,11,a4f07_00069,2023-08-25_10-14-27,1692958467000,520.7662932873,709266,dl,141.68.100.65,520.7662932873,11,20,0.0097781823,32,256
66,0.90525,0.2674509761,61.2477347851,False,12,a4f07_00069,2023-08-25_10-15-28,1692958528000,582.0140280724,709266,dl,141.68.100.65,582.0140280724,12,20,0.0097781823,32,256
67,0.9094166667,0.2549589859,47.1054589748,False,13,a4f07_00069,2023-08-25_10-16-15,1692958575000,629.1194870472,709266,dl,141.68.100.65,629.1194870472,13,20,0.0097781823,32,256
68,0.903,0.2667028409,48.1420128345,False,14,a4f07_00069,2023-08-25_10-17-03,1692958623000,677.2614998817,709266,dl,141.68.100.65,677.2614998817,14,20,0.0097781823,32,256
69,0.9100833333,0.2435155962,47.2622673512,False,15,a4f07_00069,2023-08-25_10-17-50,1692958670000,724.5237672329,709266,dl,141.68.100.65,724.5237672329,15,20,0.0097781823,32,256
70,0.9091666667,0.2499802392,49.9450366497,False,16,a4f07_00069,2023-08-25_10-18-40,1692958720000,774.4688038826,709266,dl,141.68.100.65,774.4688038826,16,20,0.0097781823,32,256
71,0.9118333333,0.2483711293,46.2313232422,False,17,a4f07_00069,2023-08-25_10-19-26,1692958766000,820.7001271248,709266,dl,141.68.100.65,820.7001271248,17,20,0.0097781823,32,256
72,0.9125,0.245719776,46.7276761532,False,18,a4f07_00069,2023-08-25_10-20-13,1692958813000,867.427803278,709266,dl,141.68.100.65,867.427803278,18,20,0.0097781823,32,256
73,0.9148333333,0.2368803344,44.5773661137,False,19,a4f07_00069,2023-08-25_10-20-58,1692958858000,912.0051693916,709266,dl,141.68.100.65,912.0051693916,19,20,0.0097781823,32,256
74,0.9165833333,0.2317762164,47.5681433678,False,20,a4f07_00069,2023-08-25_10-21-45,1692958905000,959.5733127594,709266,dl,141.68.100.65,959.5733127594,20,20,0.0097781823,32,256
75,0.7886666667,0.567334682,54.2365825176,False,1,a4f07_00098,2023-08-25_11-51-08,1692964268000,54.2365825176,2296747,dl,141.68.100.65,54.2365825176,1,15,0.005929586,32,256
76,0.8318333333,0.47940747,49.9751079082,False,2,a4f07_00098,2023-08-25_11-51-58,1692964318000,104.2116904259,2296747,dl,141.68.100.65,104.2116904259,2,15,0.005929586,32,256
77,0.8511666667,0.4264970387,48.8373000622,False,3,a4f07_00098,2023-08-25_11-52-47,1692964367000,153.0489904881,2296747,dl,141.68.100.65,153.0489904881,3,15,0.005929586,32,256
78,0.858,0.4018564972,51.3900036812,False,4,a4f07_00098,2023-08-25_11-53-39,1692964419000,204.4389941692,2296747,dl,141.68.100.65,204.4389941692,4,15,0.005929586,32,256
79,0.8655,0.3751049358,77.7492465973,False,5,a4f07_00098,2023-08-25_11-54-56,1692964496000,282.1882407665,2296747,dl,141.68.100.65,282.1882407665,5,15,0.005929586,32,256
80,0.8725,0.3645781221,111.5779414177,False,6,a4f07_00098,2023-08-25_11-56-48,1692964608000,393.7661821842,2296747,dl,141.68.100.65,393.7661821842,6,15,0.005929586,32,256
81,0.87325,0.3603073794,72.7775514126,False,7,a4f07_00098,2023-08-25_11-58-01,1692964681000,466.5437335968,2296747,dl,141.68.100.65,466.5437335968,7,15,0.005929586,32,256
82,0.8805833333,0.3363914144,81.2337298393,False,8,a4f07_00098,2023-08-25_11-59-22,1692964762000,547.7774634361,2296747,dl,141.68.100.65,547.7774634361,8,15,0.005929586,32,256
83,0.8881666667,0.3194324076,97.1702196598,False,9,a4f07_00098,2023-08-25_12-00-59,1692964859000,644.9476830959,2296747,dl,141.68.100.65,644.9476830959,9,15,0.005929586,32,256
84,0.888,0.3139928467,69.8220691681,False,10,a4f07_00098,2023-08-25_12-02-09,1692964929000,714.769752264,2296747,dl,141.68.100.65,714.769752264,10,15,0.005929586,32,256
85,0.8930833333,0.3041502465,69.1200993061,False,11,a4f07_00098,2023-08-25_12-03-18,1692964998000,783.8898515701,2296747,dl,141.68.100.65,783.8898515701,11,15,0.005929586,32,256
86,0.872,0.3467491685,67.2400631905,False,12,a4f07_00098,2023-08-25_12-04-25,1692965065000,851.1299147606,2296747,dl,141.68.100.65,851.1299147606,12,15,0.005929586,32,256
87,0.889,0.31001292,65.4172017574,False,13,a4f07_00098,2023-08-25_12-05-31,1692965131000,916.547116518,2296747,dl,141.68.100.65,916.547116518,13,15,0.005929586,32,256
88,0.89775,0.2947015802,66.3887777328,False,14,a4f07_00098,2023-08-25_12-06-37,1692965197000,982.9358942509,2296747,dl,141.68.100.65,982.9358942509,14,15,0.005929586,32,256
89,0.8923333333,0.3003292416,66.3634865284,False,15,a4f07_00098,2023-08-25_12-07-44,1692965264000,1049.2993807793,2296747,dl,141.68.100.65,1049.2993807793,15,15,0.005929586,32,256
90,0.7780833333,0.579225699,51.0496630669,False,1,a4f07_00020,2023-08-25_08-22-26,1692951746000,51.0496630669,2525160,dl,141.68.100.65,51.0496630669,1,10,0.0027600615,16,128
91,0.8330833333,0.4640470583,46.9056587219,False,2,a4f07_00020,2023-08-25_08-23-13,1692951793000,97.9553217888,2525160,dl,141.68.100.65,97.9553217888,2,10,0.0027600615,16,128
92,0.8540833333,0.4093119311,46.9732739925,False,3,a4f07_00020,2023-08-25_08-24-00,1692951840000,144.9285957813,2525160,dl,141.68.100.65,144.9285957813,3,10,0.0027600615,16,128
93,0.8404166667,0.4302595717,45.8115344048,False,4,a4f07_00020,2023-08-25_08-24-46,1692951886000,190.7401301861,2525160,dl,141.68.100.65,190.7401301861,4,10,0.0027600615,16,128
94,0.87025,0.3669187818,53.9505827427,False,5,a4f07_00020,2023-08-25_08-25-40,1692951940000,244.6907129288,2525160,dl,141.68.100.65,244.6907129288,5,10,0.0027600615,16,128
95,0.87225,0.3543168509,52.413449049,False,6,a4f07_00020,2023-08-25_08-26-32,1692951992000,297.1041619778,2525160,dl,141.68.100.65,297.1041619778,6,10,0.0027600615,16,128
96,0.8753333333,0.3525775498,50.923314333,False,7,a4f07_00020,2023-08-25_08-27-23,1692952043000,348.0274763107,2525160,dl,141.68.100.65,348.0274763107,7,10,0.0027600615,16,128
97,0.8815,0.3341856634,69.0873100758,False,8,a4f07_00020,2023-08-25_08-28-32,1692952112000,417.1147863865,2525160,dl,141.68.100.65,417.1147863865,8,10,0.0027600615,16,128
98,0.885,0.3203273209,87.6094377041,False,9,a4f07_00020,2023-08-25_08-30-00,1692952200000,504.7242240906,2525160,dl,141.68.100.65,504.7242240906,9,10,0.0027600615,16,128
99,0.884,0.3150617024,84.0013110638,False,10,a4f07_00020,2023-08-25_08-31-24,1692952284000,588.7255351543,2525160,dl,141.68.100.65,588.7255351543,10,10,0.0027600615,16,128
100,0.2128333333,2.2776908951,20.2922194004,False,1,a4f07_00093,2023-08-25_11-31-17,1692963077000,20.2922194004,2052071,dl,141.68.100.65,20.2922194004,1,5,0.000324881,128,32
101,0.2889166667,2.2533963614,16.3926010132,False,2,a4f07_00093,2023-08-25_11-31-33,1692963093000,36.6848204136,2052071,dl,141.68.100.65,36.6848204136,2,5,0.000324881,128,32
102,0.34625,2.2263509948,13.4918415546,False,3,a4f07_00093,2023-08-25_11-31-47,1692963107000,50.1766619682,2052071,dl,141.68.100.65,50.1766619682,3,5,0.000324881,128,32
103,0.3823333333,2.1938859123,13.2486188412,False,4,a4f07_00093,2023-08-25_11-32-00,1692963120000,63.4252808094,2052071,dl,141.68.100.65,63.4252808094,4,5,0.000324881,128,32
104,0.4115,2.1532130875,19.8875432014,False,5,a4f07_00093,2023-08-25_11-32-20,1692963140000,83.3128240108,2052071,dl,141.68.100.65,83.3128240108,5,5,0.000324881,128,32
105,0.1333333333,2.2939252853,23.657156229,False,1,a4f07_00112,2023-08-25_12-47-43,1692967663000,23.657156229,2896721,dl,141.68.100.65,23.657156229,1,15,0.0001233164,128,32
106,0.1799166667,2.2864452372,15.7306575775,False,2,a4f07_00112,2023-08-25_12-47-58,1692967678000,39.3878138065,2896721,dl,141.68.100.65,39.3878138065,2,15,0.0001233164,128,32
107,0.2036666667,2.2794698223,16.5956258774,False,3,a4f07_00112,2023-08-25_12-48-15,1692967695000,55.9834396839,2896721,dl,141.68.100.65,55.9834396839,3,15,0.0001233164,128,32
108,0.2235,2.272340176,15.3821489811,False,4,a4f07_00112,2023-08-25_12-48-30,1692967710000,71.365588665,2896721,dl,141.68.100.65,71.365588665,4,15,0.0001233164,128,32
109,0.2381666667,2.2649822184,18.2387049198,False,5,a4f07_00112,2023-08-25_12-48-49,1692967729000,89.6042935848,2896721,dl,141.68.100.65,89.6042935848,5,15,0.0001233164,128,32
110,0.2511666667,2.2575199705,17.2627694607,False,6,a4f07_00112,2023-08-25_12-49-06,1692967746000,106.8670630455,2896721,dl,141.68.100.65,106.8670630455,6,15,0.0001233164,128,32
111,0.2649166667,2.2497877517,18.4221482277,False,7,a4f07_00112,2023-08-25_12-49-24,1692967764000,125.2892112732,2896721,dl,141.68.100.65,125.2892112732,7,15,0.0001233164,128,32
112,0.279,2.2416771244,20.5345933437,False,8,a4f07_00112,2023-08-25_12-49-45,1692967785000,145.8238046169,2896721,dl,141.68.100.65,145.8238046169,8,15,0.0001233164,128,32
