,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.8099166667,0.5203754916,28.8810796738,False,1,b3024_00043,2023-08-24_09-20-10,1692868810000,28.8810796738,3512891,dl,141.68.100.65,28.8810796738,1,10,0.009710145,32,256
1,0.83275,0.4553662948,23.7054708004,False,2,b3024_00043,2023-08-24_09-20-34,1692868834000,52.5865504742,3512891,dl,141.68.100.65,52.5865504742,2,10,0.009710145,32,256
2,0.8549166667,0.3945866498,23.1945245266,False,3,b3024_00043,2023-08-24_09-20-57,1692868857000,75.7810750008,3512891,dl,141.68.100.65,75.7810750008,3,10,0.009710145,32,256
3,0.8720833333,0.3504411151,22.6709594727,False,4,b3024_00043,2023-08-24_09-21-20,1692868880000,98.4520344734,3512891,dl,141.68.100.65,98.4520344734,4,10,0.009710145,32,256
4,0.87875,0.3344157926,23.451633215,False,5,b3024_00043,2023-08-24_09-21-43,1692868903000,121.9036676884,3512891,dl,141.68.100.65,121.9036676884,5,10,0.009710145,32,256
5,0.8885833333,0.3098840982,22.919891119,False,6,b3024_00043,2023-08-24_09-22-06,1692868926000,144.8235588074,3512891,dl,141.68.100.65,144.8235588074,6,10,0.009710145,32,256
6,0.8924166667,0.2962164974,23.7734544277,False,7,b3024_00043,2023-08-24_09-22-30,1692868950000,168.5970132351,3512891,dl,141.68.100.65,168.5970132351,7,10,0.009710145,32,256
7,0.89475,0.294730512,25.093154192,False,8,b3024_00043,2023-08-24_09-22-55,1692868975000,193.6901674271,3512891,dl,141.68.100.65,193.6901674271,8,10,0.009710145,32,256
8,0.8976666667,0.2818772013,24.184453249,False,9,b3024_00043,2023-08-24_09-23-19,1692868999000,217.874620676,3512891,dl,141.68.100.65,217.874620676,9,10,0.009710145,32,256
9,0.8971666667,0.2837121352,23.3525424004,False,10,b3024_00043,2023-08-24_09-23-42,1692869022000,241.2271630764,3512891,dl,141.68.100.65,241.2271630764,10,10,0.009710145,32,256
10,0.257,2.2201775997,28.8615796566,True,1,b3024_00310,2023-08-24_14-42-04,1692888124000,28.8615796566,4063946,dl,141.68.100.65,28.8615796566,1,5,0.0007998543,128,64
11,0.7345,0.7578217296,41.1160576344,False,1,b3024_00161,2023-08-24_11-08-04,1692875284000,41.1160576344,1523771,dl,141.68.100.65,41.1160576344,1,15,0.0019482208,32,32
12,0.7841666667,0.5965758146,31.9559352398,True,2,b3024_00161,2023-08-24_11-08-36,1692875316000,73.0719928741,1523771,dl,141.68.100.65,73.0719928741,2,15,0.0019482208,32,32
13,0.4449166667,2.062033037,55.7264959812,True,1,b3024_00004,2023-08-24_08-48-37,1692866917000,55.7264959812,2538152,dl,141.68.100.65,55.7264959812,1,20,0.0002117799,16,64
14,0.6121666667,1.3770751804,145.3042860031,True,1,b3024_00311,2023-08-24_14-44-48,1692888288000,145.3042860031,4066753,dl,141.68.100.65,145.3042860031,1,20,0.0010418436,32,32
15,0.8751666667,0.3342797865,38.1035168171,False,1,b3024_00179,2023-08-24_11-31-58,1692876718000,38.1035168171,1951606,dl,141.68.100.65,38.1035168171,1,10,0.0887501186,32,256
16,0.89975,0.2690340303,48.3029301167,False,2,b3024_00179,2023-08-24_11-32-46,1692876766000,86.4064469337,1951606,dl,141.68.100.65,86.4064469337,2,10,0.0887501186,32,256
17,0.9035,0.2608978766,36.7223854065,False,3,b3024_00179,2023-08-24_11-33-23,1692876803000,123.1288323402,1951606,dl,141.68.100.65,123.1288323402,3,10,0.0887501186,32,256
