,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.8625833333,0.373413355,57.5642476082,False,1,3dab8_00039,2023-08-22_20-56-30,1692737790000,57.5642476082,2931095,dl,141.68.100.65,57.5642476082,1,15,0.0633335836,32,64
1,0.8741666667,0.3448450934,59.7622005939,False,2,3dab8_00039,2023-08-22_20-57-30,1692737850000,117.3264482021,2931095,dl,141.68.100.65,117.3264482021,2,15,0.0633335836,32,64
2,0.8986666667,0.2772991281,67.1565997601,False,3,3dab8_00039,2023-08-22_20-58-37,1692737917000,184.4830479622,2931095,dl,141.68.100.65,184.4830479622,3,15,0.0633335836,32,64
3,0.8998333333,0.2719360073,68.5559585094,False,4,3dab8_00039,2023-08-22_20-59-46,1692737986000,253.0390064716,2931095,dl,141.68.100.65,253.0390064716,4,15,0.0633335836,32,64
4,0.90625,0.2592022706,67.0313766003,False,5,3dab8_00039,2023-08-22_21-00-53,1692738053000,320.0703830719,2931095,dl,141.68.100.65,320.0703830719,5,15,0.0633335836,32,64
5,0.9081666667,0.2526087553,70.5245335102,False,6,3dab8_00039,2023-08-22_21-02-03,1692738123000,390.5949165821,2931095,dl,141.68.100.65,390.5949165821,6,15,0.0633335836,32,64
6,0.9178333333,0.2322719951,73.0205087662,False,7,3dab8_00039,2023-08-22_21-03-16,1692738196000,463.6154253483,2931095,dl,141.68.100.65,463.6154253483,7,15,0.0633335836,32,64
7,0.9126666667,0.2566933097,67.5782310963,False,8,3dab8_00039,2023-08-22_21-04-24,1692738264000,531.1936564445,2931095,dl,141.68.100.65,531.1936564445,8,15,0.0633335836,32,64
8,0.9190833333,0.2312863043,73.0636711121,False,9,3dab8_00039,2023-08-22_21-05-37,1692738337000,604.2573275566,2931095,dl,141.68.100.65,604.2573275566,9,15,0.0633335836,32,64
9,0.91925,0.2343131752,69.2190198898,False,10,3dab8_00039,2023-08-22_21-06-46,1692738406000,673.4763474464,2931095,dl,141.68.100.65,673.4763474464,10,15,0.0633335836,32,64
10,0.9186666667,0.2448709022,71.4709296227,False,11,3dab8_00039,2023-08-22_21-07-57,1692738477000,744.9472770691,2931095,dl,141.68.100.65,744.9472770691,11,15,0.0633335836,32,64
11,0.9179166667,0.2466761344,71.4494183064,False,12,3dab8_00039,2023-08-22_21-09-09,1692738549000,816.3966953754,2931095,dl,141.68.100.65,816.3966953754,12,15,0.0633335836,32,64
12,0.9175,0.2675399628,75.3253161907,False,13,3dab8_00039,2023-08-22_21-10-24,1692738624000,891.7220115662,2931095,dl,141.68.100.65,891.7220115662,13,15,0.0633335836,32,64
13,0.9168333333,0.2819180001,71.4546625614,False,14,3dab8_00039,2023-08-22_21-11-36,1692738696000,963.1766741276,2931095,dl,141.68.100.65,963.1766741276,14,15,0.0633335836,32,64
14,0.918,0.2686980914,72.6151416302,False,15,3dab8_00039,2023-08-22_21-12-48,1692738768000,1035.7918157578,2931095,dl,141.68.100.65,1035.7918157578,15,15,0.0633335836,32,64
15,0.2426666667,2.2660991141,63.7827894688,False,1,3dab8_00002,2023-08-22_18-41-09,1692729669000,63.7827894688,539533,dl,141.68.100.65,63.7827894688,1,15,0.0001509928,32,64
16,0.30975,2.2173050664,61.3796069622,False,2,3dab8_00002,2023-08-22_18-42-11,1692729731000,125.162396431,539533,dl,141.68.100.65,125.162396431,2,15,0.0001509928,32,64
17,0.37375,2.1405480048,62.5351753235,False,3,3dab8_00002,2023-08-22_18-43-13,1692729793000,187.6975717545,539533,dl,141.68.100.65,187.6975717545,3,15,0.0001509928,32,64
18,0.47425,2.0041633205,60.3880882263,False,4,3dab8_00002,2023-08-22_18-44-14,1692729854000,248.0856599808,539533,dl,141.68.100.65,248.0856599808,4,15,0.0001509928,32,64
19,0.57175,1.7691716811,61.7292766571,False,5,3dab8_00002,2023-08-22_18-45-16,1692729916000,309.8149366379,539533,dl,141.68.100.65,309.8149366379,5,15,0.0001509928,32,64
20,0.6340833333,1.4530600805,61.4746444225,False,6,3dab8_00002,2023-08-22_18-46-17,1692729977000,371.2895810604,539533,dl,141.68.100.65,371.2895810604,6,15,0.0001509928,32,64
21,0.662,1.1778751562,59.1905655861,False,7,3dab8_00002,2023-08-22_18-47-16,1692730036000,430.4801466465,539533,dl,141.68.100.65,430.4801466465,7,15,0.0001509928,32,64
22,0.6879166667,1.0000493519,59.8534903526,False,8,3dab8_00002,2023-08-22_18-48-16,1692730096000,490.3336369991,539533,dl,141.68.100.65,490.3336369991,8,15,0.0001509928,32,64
23,0.7124166667,0.8908943834,42.3671386242,False,9,3dab8_00002,2023-08-22_18-48-58,1692730138000,532.7007756233,539533,dl,141.68.100.65,532.7007756233,9,15,0.0001509928,32,64
24,0.725,0.8220146469,39.7667119503,False,10,3dab8_00002,2023-08-22_18-49-38,1692730178000,572.4674875736,539533,dl,141.68.100.65,572.4674875736,10,15,0.0001509928,32,64
25,0.7381666667,0.7741714111,44.8126249313,False,11,3dab8_00002,2023-08-22_18-50-23,1692730223000,617.280112505,539533,dl,141.68.100.65,617.280112505,11,15,0.0001509928,32,64
26,0.7425833333,0.7412767161,44.7996153831,False,12,3dab8_00002,2023-08-22_18-51-08,1692730268000,662.0797278881,539533,dl,141.68.100.65,662.0797278881,12,15,0.0001509928,32,64
27,0.74425,0.7183862598,44.6566755772,False,13,3dab8_00002,2023-08-22_18-51-52,1692730312000,706.7364034653,539533,dl,141.68.100.65,706.7364034653,13,15,0.0001509928,32,64
28,0.7501666667,0.6988431807,44.6040062904,False,14,3dab8_00002,2023-08-22_18-52-37,1692730357000,751.3404097557,539533,dl,141.68.100.65,751.3404097557,14,15,0.0001509928,32,64
29,0.7538333333,0.6855371837,44.433300972,False,15,3dab8_00002,2023-08-22_18-53-21,1692730401000,795.7737107277,539533,dl,141.68.100.65,795.7737107277,15,15,0.0001509928,32,64
30,0.7835,0.5901489765,27.1430723667,False,1,3dab8_00037,2023-08-22_20-48-36,1692737316000,27.1430723667,2829908,dl,141.68.100.65,27.1430723667,1,15,0.0252305352,128,64
31,0.82725,0.4695959186,19.0558505058,False,2,3dab8_00037,2023-08-22_20-48-56,1692737336000,46.1989228725,2829908,dl,141.68.100.65,46.1989228725,2,15,0.0252305352,128,64
