,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.667,1.1989489392,43.1779077053,False,1,71a80_00005,2023-08-22_11-13-39,1692702819000,43.1779077053,1917835,dl,141.68.100.65,43.1779077053,1,15,0.001,32,64
1,0.75575,0.6997990389,36.4519813061,False,2,71a80_00005,2023-08-22_11-14-15,1692702855000,79.6298890114,1917835,dl,141.68.100.65,79.6298890114,2,15,0.001,32,64
2,0.7784166667,0.6223600241,37.167683363,False,3,71a80_00005,2023-08-22_11-14-52,1692702892000,116.7975723743,1917835,dl,141.68.100.65,116.7975723743,3,15,0.001,32,64
3,0.792,0.5831803764,38.7215921879,False,4,71a80_00005,2023-08-22_11-15-31,1692702931000,155.5191645622,1917835,dl,141.68.100.65,155.5191645622,4,15,0.001,32,64
4,0.8023333333,0.5579024204,34.6390986443,False,5,71a80_00005,2023-08-22_11-16-06,1692702966000,190.1582632065,1917835,dl,141.68.100.65,190.1582632065,5,15,0.001,32,64
5,0.802,0.5415580367,38.9454672337,False,6,71a80_00005,2023-08-22_11-16-45,1692703005000,229.1037304401,1917835,dl,141.68.100.65,229.1037304401,6,15,0.001,32,64
6,0.81125,0.5239690802,37.157020092,False,7,71a80_00005,2023-08-22_11-17-22,1692703042000,266.2607505322,1917835,dl,141.68.100.65,266.2607505322,7,15,0.001,32,64
7,0.8165833333,0.5098768397,35.5906922817,False,8,71a80_00005,2023-08-22_11-17-57,1692703077000,301.8514428139,1917835,dl,141.68.100.65,301.8514428139,8,15,0.001,32,64
8,0.8211666667,0.4945461212,41.3463096619,False,9,71a80_00005,2023-08-22_11-18-39,1692703119000,343.1977524757,1917835,dl,141.68.100.65,343.1977524757,9,15,0.001,32,64
9,0.8184166667,0.4851999523,47.0111896992,False,10,71a80_00005,2023-08-22_11-19-26,1692703166000,390.2089421749,1917835,dl,141.68.100.65,390.2089421749,10,15,0.001,32,64
10,0.8354166667,0.4642645698,48.5196788311,False,11,71a80_00005,2023-08-22_11-20-14,1692703214000,438.728621006,1917835,dl,141.68.100.65,438.728621006,11,15,0.001,32,64
