,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.8756666667,0.332880226,79.0064496994,False,1,b0630_00109,2023-08-31_10-33-58,1693478038000,79.0064496994,319378,dl,141.68.100.65,79.0064496994,1,15,0.0853349177,16,64
1,0.9010833333,0.2609275831,83.7081308365,False,2,b0630_00109,2023-08-31_10-35-22,1693478122000,162.7145805359,319378,dl,141.68.100.65,162.7145805359,2,15,0.0853349177,16,64
2,0.9120833333,0.2436002451,82.6514356136,False,3,b0630_00109,2023-08-31_10-36-44,1693478204000,245.3660161495,319378,dl,141.68.100.65,245.3660161495,3,15,0.0853349177,16,64
3,0.911,0.2349436545,76.2784068584,False,4,b0630_00109,2023-08-31_10-38-01,1693478281000,321.644423008,319378,dl,141.68.100.65,321.644423008,4,15,0.0853349177,16,64
4,0.916,0.236049242,77.2019729614,False,5,b0630_00109,2023-08-31_10-39-18,1693478358000,398.8463959694,319378,dl,141.68.100.65,398.8463959694,5,15,0.0853349177,16,64
5,0.9095,0.24659566,76.6349999905,False,6,b0630_00109,2023-08-31_10-40-34,1693478434000,475.4813959599,319378,dl,141.68.100.65,475.4813959599,6,15,0.0853349177,16,64
6,0.9075833333,0.2667656729,79.9386205673,False,7,b0630_00109,2023-08-31_10-41-54,1693478514000,555.4200165272,319378,dl,141.68.100.65,555.4200165272,7,15,0.0853349177,16,64
7,0.9135,0.2572587168,78.8970451355,True,8,b0630_00109,2023-08-31_10-43-13,1693478593000,634.3170616627,319378,dl,141.68.100.65,634.3170616627,8,15,0.0853349177,16,64
8,0.8555,0.3962192999,78.1764850616,False,1,b0630_00067,2023-08-31_09-50-14,1693475414000,78.1764850616,294060,dl,141.68.100.65,78.1764850616,1,5,0.0209127911,16,64
9,0.87125,0.3412193453,79.8986678123,True,2,b0630_00067,2023-08-31_09-51-34,1693475494000,158.075152874,294060,dl,141.68.100.65,158.075152874,2,5,0.0209127911,16,64
10,0.87575,0.3336021979,67.6281023026,False,1,b0630_00042,2023-08-31_09-29-25,1693474165000,67.6281023026,280463,dl,141.68.100.65,67.6281023026,1,20,0.0908279987,32,256
11,0.8995833333,0.2770404779,66.5716719627,False,2,b0630_00042,2023-08-31_09-30-32,1693474232000,134.1997742653,280463,dl,141.68.100.65,134.1997742653,2,20,0.0908279987,32,256
12,0.9133333333,0.2378123129,65.3122274876,False,3,b0630_00042,2023-08-31_09-31-37,1693474297000,199.5120017529,280463,dl,141.68.100.65,199.5120017529,3,20,0.0908279987,32,256
13,0.9040833333,0.2579335237,66.0026214123,False,4,b0630_00042,2023-08-31_09-32-43,1693474363000,265.5146231651,280463,dl,141.68.100.65,265.5146231651,4,20,0.0908279987,32,256
14,0.915,0.2387574012,66.3167533875,False,5,b0630_00042,2023-08-31_09-33-49,1693474429000,331.8313765526,280463,dl,141.68.100.65,331.8313765526,5,20,0.0908279987,32,256
15,0.9185833333,0.2290143994,66.9510273933,False,6,b0630_00042,2023-08-31_09-34-56,1693474496000,398.7824039459,280463,dl,141.68.100.65,398.7824039459,6,20,0.0908279987,32,256
16,0.9189166667,0.2264829543,69.9112462997,False,7,b0630_00042,2023-08-31_09-36-06,1693474566000,468.6936502457,280463,dl,141.68.100.65,468.6936502457,7,20,0.0908279987,32,256
17,0.9215,0.2269173216,65.2230706215,False,8,b0630_00042,2023-08-31_09-37-11,1693474631000,533.9167208672,280463,dl,141.68.100.65,533.9167208672,8,20,0.0908279987,32,256
18,0.9191666667,0.2312023821,66.256683588,False,9,b0630_00042,2023-08-31_09-38-18,1693474698000,600.1734044552,280463,dl,141.68.100.65,600.1734044552,9,20,0.0908279987,32,256
19,0.9221666667,0.2535682498,66.9500079155,False,10,b0630_00042,2023-08-31_09-39-25,1693474765000,667.1234123707,280463,dl,141.68.100.65,667.1234123707,10,20,0.0908279987,32,256
20,0.923,0.2425252468,66.8029997349,False,11,b0630_00042,2023-08-31_09-40-31,1693474831000,733.9264121056,280463,dl,141.68.100.65,733.9264121056,11,20,0.0908279987,32,256
21,0.925,0.2616346399,66.8667142391,False,12,b0630_00042,2023-08-31_09-41-38,1693474898000,800.7931263447,280463,dl,141.68.100.65,800.7931263447,12,20,0.0908279987,32,256
22,0.9281666667,0.2924339954,67.4204742908,False,13,b0630_00042,2023-08-31_09-42-46,1693474966000,868.2136006355,280463,dl,141.68.100.65,868.2136006355,13,20,0.0908279987,32,256
23,0.9280833333,0.3010581652,68.147247076,False,14,b0630_00042,2023-08-31_09-43-54,1693475034000,936.3608477116,280463,dl,141.68.100.65,936.3608477116,14,20,0.0908279987,32,256
24,0.9255833333,0.3296564789,69.138133049,False,15,b0630_00042,2023-08-31_09-45-03,1693475103000,1005.4989807606,280463,dl,141.68.100.65,1005.4989807606,15,20,0.0908279987,32,256
25,0.925,0.3581483989,66.083414793,True,16,b0630_00042,2023-08-31_09-46-09,1693475169000,1071.5823955536,280463,dl,141.68.100.65,1071.5823955536,16,20,0.0908279987,32,256
26,0.7279166667,0.6607890215,66.5430030823,True,1,b0630_00166,2023-08-31_11-29-47,1693481387000,66.5430030823,350741,dl,141.68.100.65,66.5430030823,1,20,0.0187538537,128,256
27,0.8529166667,0.3903985503,63.8214809895,False,1,b0630_00148,2023-08-31_11-12-33,1693480353000,63.8214809895,341586,dl,141.68.100.65,63.8214809895,1,20,0.048073879,32,64
28,0.8810833333,0.3270757602,70.4096896648,True,2,b0630_00148,2023-08-31_11-13-43,1693480423000,134.2311706543,341586,dl,141.68.100.65,134.2311706543,2,20,0.048073879,32,64
29,0.7668333333,0.6517385695,61.509403944,True,1,b0630_00196,2023-08-31_12-02-59,1693483379000,61.509403944,368392,dl,141.68.100.65,61.509403944,1,5,0.0168960669,128,32
30,0.7135,0.8505935143,67.1253094673,True,1,b0630_00275,2023-08-31_13-24-48,1693488288000,67.1253094673,407508,dl,141.68.100.65,67.1253094673,1,20,0.0071963544,128,256
31,0.8515,0.4111590039,56.5692224503,False,1,b0630_00119,2023-08-31_10-45-54,1693478754000,56.5692224503,326740,dl,141.68.100.65,56.5692224503,1,15,0.0659115019,64,32
32,0.87125,0.3498824134,56.9624996185,True,2,b0630_00119,2023-08-31_10-46-51,1693478811000,113.5317220688,326740,dl,141.68.100.65,113.5317220688,2,15,0.0659115019,64,32
33,0.84275,0.4236320701,66.558331728,False,1,b0630_00108,2023-08-31_10-33-23,1693478003000,66.558331728,319067,dl,141.68.100.65,66.558331728,1,20,0.0313527382,32,128
34,0.8760833333,0.3341165724,63.6552560329,True,2,b0630_00108,2023-08-31_10-34-27,1693478067000,130.2135877609,319067,dl,141.68.100.65,130.2135877609,2,20,0.0313527382,32,128
35,0.8061666667,0.507448801,59.0189986229,True,1,b0630_00268,2023-08-31_13-17-08,1693487828000,59.0189986229,404074,dl,141.68.100.65,59.0189986229,1,20,0.0649091244,128,128
36,0.891,0.3079014049,70.9897522926,False,1,b0630_00015,2023-08-31_09-05-00,1693472700000,70.9897522926,264526,dl,141.68.100.65,70.9897522926,1,10,0.0705006436,16,32
37,0.8936666667,0.2915092378,68.4417757988,False,2,b0630_00015,2023-08-31_09-06-08,1693472768000,139.4315280914,264526,dl,141.68.100.65,139.4315280914,2,10,0.0705006436,16,32
38,0.9090833333,0.2591300314,69.8256835938,False,3,b0630_00015,2023-08-31_09-07-18,1693472838000,209.2572116852,264526,dl,141.68.100.65,209.2572116852,3,10,0.0705006436,16,32
39,0.9119166667,0.245414985,69.4642226696,False,4,b0630_00015,2023-08-31_09-08-27,1693472907000,278.7214343548,264526,dl,141.68.100.65,278.7214343548,4,10,0.0705006436,16,32
40,0.9134166667,0.247070774,71.2428481579,False,5,b0630_00015,2023-08-31_09-09-39,1693472979000,349.9642825127,264526,dl,141.68.100.65,349.9642825127,5,10,0.0705006436,16,32
41,0.9064166667,0.2547231746,70.4972007275,False,6,b0630_00015,2023-08-31_09-10-49,1693473049000,420.4614832401,264526,dl,141.68.100.65,420.4614832401,6,10,0.0705006436,16,32
42,0.898,0.2796874746,68.6627719402,False,7,b0630_00015,2023-08-31_09-11-58,1693473118000,489.1242551804,264526,dl,141.68.100.65,489.1242551804,7,10,0.0705006436,16,32
43,0.9159166667,0.2577759315,71.0103154182,True,8,b0630_00015,2023-08-31_09-13-09,1693473189000,560.1345705986,264526,dl,141.68.100.65,560.1345705986,8,10,0.0705006436,16,32
44,0.8333333333,0.4438175055,89.0113813877,True,1,b0630_00158,2023-08-31_11-22-02,1693480922000,89.0113813877,346652,dl,141.68.100.65,89.0113813877,1,20,0.0194434235,16,128
45,0.86,0.3823135968,61.7681422234,False,1,b0630_00010,2023-08-31_08-51-12,1693471872000,61.7681422234,255488,dl,141.68.100.65,61.7681422234,1,20,0.0361301079,32,128
46,0.8888333333,0.3074238859,63.0621571541,False,2,b0630_00010,2023-08-31_08-52-15,1693471935000,124.8302993774,255488,dl,141.68.100.65,124.8302993774,2,20,0.0361301079,32,128
47,0.8851666667,0.306863384,62.6991620064,False,3,b0630_00010,2023-08-31_08-53-18,1693471998000,187.5294613838,255488,dl,141.68.100.65,187.5294613838,3,20,0.0361301079,32,128
48,0.9035,0.2640407448,61.9322891235,False,4,b0630_00010,2023-08-31_08-54-20,1693472060000,249.4617505074,255488,dl,141.68.100.65,249.4617505074,4,20,0.0361301079,32,128
49,0.9063333333,0.258646796,61.9477579594,False,5,b0630_00010,2023-08-31_08-55-22,1693472122000,311.4095084667,255488,dl,141.68.100.65,311.4095084667,5,20,0.0361301079,32,128
50,0.9055,0.2578213558,61.6701517105,False,6,b0630_00010,2023-08-31_08-56-24,1693472184000,373.0796601772,255488,dl,141.68.100.65,373.0796601772,6,20,0.0361301079,32,128
51,0.9153333333,0.2352264012,62.3673527241,False,7,b0630_00010,2023-08-31_08-57-26,1693472246000,435.4470129013,255488,dl,141.68.100.65,435.4470129013,7,20,0.0361301079,32,128
52,0.9133333333,0.2378485741,62.0124692917,False,8,b0630_00010,2023-08-31_08-58-28,1693472308000,497.459482193,255488,dl,141.68.100.65,497.459482193,8,20,0.0361301079,32,128
53,0.9209166667,0.2240427831,62.2298269272,False,9,b0630_00010,2023-08-31_08-59-30,1693472370000,559.6893091202,255488,dl,141.68.100.65,559.6893091202,9,20,0.0361301079,32,128
54,0.9161666667,0.2381148128,62.3355138302,False,10,b0630_00010,2023-08-31_09-00-33,1693472433000,622.0248229504,255488,dl,141.68.100.65,622.0248229504,10,20,0.0361301079,32,128
55,0.92175,0.2237017476,59.5355262756,False,11,b0630_00010,2023-08-31_09-01-32,1693472492000,681.560349226,255488,dl,141.68.100.65,681.560349226,11,20,0.0361301079,32,128
56,0.9176666667,0.2407647603,64.1948554516,False,12,b0630_00010,2023-08-31_09-02-36,1693472556000,745.7552046776,255488,dl,141.68.100.65,745.7552046776,12,20,0.0361301079,32,128
57,0.9223333333,0.2337284325,62.2808628082,False,13,b0630_00010,2023-08-31_09-03-39,1693472619000,808.0360674858,255488,dl,141.68.100.65,808.0360674858,13,20,0.0361301079,32,128
58,0.927,0.2245252628,65.7043321133,False,14,b0630_00010,2023-08-31_09-04-44,1693472684000,873.7403995991,255488,dl,141.68.100.65,873.7403995991,14,20,0.0361301079,32,128
59,0.90825,0.2746278301,62.4943063259,False,15,b0630_00010,2023-08-31_09-05-47,1693472747000,936.234705925,255488,dl,141.68.100.65,936.234705925,15,20,0.0361301079,32,128
60,0.9285833333,0.2203303295,64.1447846889,False,16,b0630_00010,2023-08-31_09-06-51,1693472811000,1000.3794906139,255488,dl,141.68.100.65,1000.3794906139,16,20,0.0361301079,32,128
61,0.9236666667,0.2464836199,63.7098731995,False,17,b0630_00010,2023-08-31_09-07-55,1693472875000,1064.0893638134,255488,dl,141.68.100.65,1064.0893638134,17,20,0.0361301079,32,128
62,0.9256666667,0.2457790015,64.4363396168,False,18,b0630_00010,2023-08-31_09-08-59,1693472939000,1128.5257034302,255488,dl,141.68.100.65,1128.5257034302,18,20,0.0361301079,32,128
63,0.9236666667,0.2497394121,63.0509166718,False,19,b0630_00010,2023-08-31_09-10-02,1693473002000,1191.5766201019,255488,dl,141.68.100.65,1191.5766201019,19,20,0.0361301079,32,128
64,0.9268333333,0.2501408349,63.9967088699,True,20,b0630_00010,2023-08-31_09-11-06,1693473066000,1255.5733289719,255488,dl,141.68.100.65,1255.5733289719,20,20,0.0361301079,32,128
65,0.8260833333,0.4735005625,64.7937092781,True,1,b0630_00281,2023-08-31_13-29-12,1693488552000,64.7937092781,409302,dl,141.68.100.65,64.7937092781,1,15,0.0246999881,64,32
66,0.82175,0.4877750151,59.0935695171,True,1,b0630_00009,2023-08-31_08-50-01,1693471801000,59.0935695171,254730,dl,141.68.100.65,59.0935695171,1,15,0.0542822667,128,64
67,0.7901666667,0.5628953345,57.8935687542,True,1,b0630_00310,2023-08-31_14-08-31,1693490911000,57.8935687542,426557,dl,141.68.100.65,57.8935687542,1,5,0.0301702616,128,64
68,0.83725,0.4441258938,90.623285532,True,1,b0630_00333,2023-08-31_14-36-41,1693492601000,90.623285532,438378,dl,141.68.100.65,90.623285532,1,5,0.0083720424,16,32
69,0.8751666667,0.3431555396,101.1513004303,False,1,b0630_00285,2023-08-31_13-33-14,1693488794000,101.1513004303,411049,dl,141.68.100.65,101.1513004303,1,15,0.047147874,16,256
70,0.8894166667,0.2909800108,106.9940841198,False,2,b0630_00285,2023-08-31_13-35-01,1693488901000,208.1453845501,411049,dl,141.68.100.65,208.1453845501,2,15,0.047147874,16,256
71,0.8979166667,0.2705612335,122.6349656582,False,3,b0630_00285,2023-08-31_13-37-03,1693489023000,330.7803502083,411049,dl,141.68.100.65,330.7803502083,3,15,0.047147874,16,256
72,0.9098333333,0.2444655904,101.3497138023,False,4,b0630_00285,2023-08-31_13-38-45,1693489125000,432.1300640106,411049,dl,141.68.100.65,432.1300640106,4,15,0.047147874,16,256
