,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.3255833333,2.2386633792,28.5710401535,False,1,4609f_00003,2023-08-22_12-07-08,1692706028000,28.5710401535,2671674,dl,141.68.100.65,28.5710401535,1,5,0.001,128,64
1,0.4866666667,2.1260670956,24.3445899487,False,2,4609f_00003,2023-08-22_12-07-33,1692706053000,52.9156301022,2671674,dl,141.68.100.65,52.9156301022,2,5,0.001,128,64
2,0.5853333333,1.8864274951,23.4091725349,False,3,4609f_00003,2023-08-22_12-07-56,1692706076000,76.3248026371,2671674,dl,141.68.100.65,76.3248026371,3,5,0.001,128,64
3,0.6295,1.4650446684,27.9391615391,False,4,4609f_00003,2023-08-22_12-08-24,1692706104000,104.2639641762,2671674,dl,141.68.100.65,104.2639641762,4,5,0.001,128,64
4,0.6736666667,1.1225244454,24.8739104271,False,5,4609f_00003,2023-08-22_12-08-49,1692706129000,129.1378746033,2671674,dl,141.68.100.65,129.1378746033,5,5,0.001,128,64
5,0.74825,0.7231627245,133.6724920273,False,1,4609f_00012,2023-08-22_12-32-57,1692707577000,133.6724920273,3032835,dl,141.68.100.65,133.6724920273,1,20,0.001,16,64
6,0.7828333333,0.5856485423,115.3951153755,False,2,4609f_00012,2023-08-22_12-34-53,1692707693000,249.0676074028,3032835,dl,141.68.100.65,249.0676074028,2,20,0.001,16,64
7,0.8085,0.5356299584,117.9647684097,False,3,4609f_00012,2023-08-22_12-36-51,1692707811000,367.0323758125,3032835,dl,141.68.100.65,367.0323758125,3,20,0.001,16,64
8,0.827,0.4854635269,119.7020001411,False,4,4609f_00012,2023-08-22_12-38-51,1692707931000,486.7343759537,3032835,dl,141.68.100.65,486.7343759537,4,20,0.001,16,64
9,0.8214166667,0.4759762109,124.2964291573,False,5,4609f_00012,2023-08-22_12-40-55,1692708055000,611.0308051109,3032835,dl,141.68.100.65,611.0308051109,5,20,0.001,16,64
10,0.8160833333,0.4770878966,119.1069955826,False,6,4609f_00012,2023-08-22_12-42-54,1692708174000,730.1378006935,3032835,dl,141.68.100.65,730.1378006935,6,20,0.001,16,64
11,0.8464166667,0.4347874879,132.8635177612,False,7,4609f_00012,2023-08-22_12-45-07,1692708307000,863.0013184547,3032835,dl,141.68.100.65,863.0013184547,7,20,0.001,16,64
12,0.849,0.4146612951,148.1736969948,False,8,4609f_00012,2023-08-22_12-47-35,1692708455000,1011.1750154495,3032835,dl,141.68.100.65,1011.1750154495,8,20,0.001,16,64
13,0.8536666667,0.4060882097,142.0342483521,False,9,4609f_00012,2023-08-22_12-49-57,1692708597000,1153.2092638016,3032835,dl,141.68.100.65,1153.2092638016,9,20,0.001,16,64
14,0.8625833333,0.3824119747,72.401154995,False,10,4609f_00012,2023-08-22_12-51-09,1692708669000,1225.6104187965,3032835,dl,141.68.100.65,1225.6104187965,10,20,0.001,16,64
15,0.86525,0.3743838756,65.2039847374,False,11,4609f_00012,2023-08-22_12-52-15,1692708735000,1290.8144035339,3032835,dl,141.68.100.65,1290.8144035339,11,20,0.001,16,64
16,0.86225,0.3750932304,63.4608895779,False,12,4609f_00012,2023-08-22_12-53-18,1692708798000,1354.2752931118,3032835,dl,141.68.100.65,1354.2752931118,12,20,0.001,16,64
17,0.8746666667,0.3577921629,63.2917869091,False,13,4609f_00012,2023-08-22_12-54-21,1692708861000,1417.5670800209,3032835,dl,141.68.100.65,1417.5670800209,13,20,0.001,16,64
18,0.8769166667,0.3480203886,63.396625042,False,14,4609f_00012,2023-08-22_12-55-25,1692708925000,1480.9637050629,3032835,dl,141.68.100.65,1480.9637050629,14,20,0.001,16,64
19,0.8800833333,0.3456956271,63.2362532616,False,15,4609f_00012,2023-08-22_12-56-28,1692708988000,1544.1999583244,3032835,dl,141.68.100.65,1544.1999583244,15,20,0.001,16,64
20,0.8756666667,0.3495470842,63.6934382915,False,16,4609f_00012,2023-08-22_12-57-32,1692709052000,1607.893396616,3032835,dl,141.68.100.65,1607.893396616,16,20,0.001,16,64
