,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.501,2.0060509177,57.7603518963,False,1,c2748_00002,2023-08-22_09-48-17,1692697697000,57.7603518963,1660651,dl,141.68.100.65,57.7603518963,1,15,0.001,64,128
1,0.664,1.188936893,43.0344855785,False,2,c2748_00002,2023-08-22_09-49-01,1692697741000,100.7948374748,1660651,dl,141.68.100.65,100.7948374748,2,15,0.001,64,128
2,0.7210833333,0.8510398434,43.7464559078,False,3,c2748_00002,2023-08-22_09-49-44,1692697784000,144.5412933826,1660651,dl,141.68.100.65,144.5412933826,3,15,0.001,64,128
3,0.74575,0.7310508466,43.4279434681,False,4,c2748_00002,2023-08-22_09-50-28,1692697828000,187.9692368507,1660651,dl,141.68.100.65,187.9692368507,4,15,0.001,64,128
4,0.7613333333,0.6721872432,47.16020298,False,5,c2748_00002,2023-08-22_09-51-15,1692697875000,235.1294398308,1660651,dl,141.68.100.65,235.1294398308,5,15,0.001,64,128
5,0.7710833333,0.6386271569,47.2593083382,False,6,c2748_00002,2023-08-22_09-52-02,1692697922000,282.3887481689,1660651,dl,141.68.100.65,282.3887481689,6,15,0.001,64,128
6,0.7784166667,0.6109105475,48.5801179409,False,7,c2748_00002,2023-08-22_09-52-51,1692697971000,330.9688661098,1660651,dl,141.68.100.65,330.9688661098,7,15,0.001,64,128
7,0.7894166667,0.5899221312,44.7371218204,False,8,c2748_00002,2023-08-22_09-53-35,1692698015000,375.7059879303,1660651,dl,141.68.100.65,375.7059879303,8,15,0.001,64,128
8,0.7940833333,0.5732613257,44.0237445831,False,9,c2748_00002,2023-08-22_09-54-19,1692698059000,419.7297325134,1660651,dl,141.68.100.65,419.7297325134,9,15,0.001,64,128
9,0.8009166667,0.5606542609,50.6233501434,False,10,c2748_00002,2023-08-22_09-55-10,1692698110000,470.3530826569,1660651,dl,141.68.100.65,470.3530826569,10,15,0.001,64,128
10,0.804,0.5472885621,43.7986824512,False,11,c2748_00002,2023-08-22_09-55-54,1692698154000,514.1517651081,1660651,dl,141.68.100.65,514.1517651081,11,15,0.001,64,128
11,0.8085,0.5343781169,43.1535131931,False,12,c2748_00002,2023-08-22_09-56-37,1692698197000,557.3052783012,1660651,dl,141.68.100.65,557.3052783012,12,15,0.001,64,128
12,0.8126666667,0.5213046074,48.551201582,False,13,c2748_00002,2023-08-22_09-57-26,1692698246000,605.8564798832,1660651,dl,141.68.100.65,605.8564798832,13,15,0.001,64,128
13,0.81875,0.5123518905,44.4262340069,False,14,c2748_00002,2023-08-22_09-58-10,1692698290000,650.2827138901,1660651,dl,141.68.100.65,650.2827138901,14,15,0.001,64,128
14,0.8218333333,0.5012951359,43.5247216225,False,15,c2748_00002,2023-08-22_09-58-54,1692698334000,693.8074355125,1660651,dl,141.68.100.65,693.8074355125,15,15,0.001,64,128
15,0.5469166667,2.1617900298,41.9845256805,False,1,c2748_00000,2023-08-22_09-48-06,1692697686000,41.9845256805,1660649,dl,141.68.100.65,41.9845256805,1,15,0.001,64,32
16,0.6198333333,1.5071169658,50.8089289665,False,2,c2748_00000,2023-08-22_09-48-57,1692697737000,92.7934546471,1660649,dl,141.68.100.65,92.7934546471,2,15,0.001,64,32
17,0.7284166667,0.870600065,45.7541675568,False,3,c2748_00000,2023-08-22_09-49-42,1692697782000,138.5476222038,1660649,dl,141.68.100.65,138.5476222038,3,15,0.001,64,32
18,0.7383333333,0.7307472311,44.0213348866,False,4,c2748_00000,2023-08-22_09-50-26,1692697826000,182.5689570904,1660649,dl,141.68.100.65,182.5689570904,4,15,0.001,64,32
19,0.757,0.6813594534,50.0335013866,False,5,c2748_00000,2023-08-22_09-51-16,1692697876000,232.602458477,1660649,dl,141.68.100.65,232.602458477,5,15,0.001,64,32
20,0.7714166667,0.6424241662,40.5299808979,False,6,c2748_00000,2023-08-22_09-51-57,1692697917000,273.1324393749,1660649,dl,141.68.100.65,273.1324393749,6,15,0.001,64,32
21,0.78275,0.6181942439,46.4863843918,False,7,c2748_00000,2023-08-22_09-52-43,1692697963000,319.6188237667,1660649,dl,141.68.100.65,319.6188237667,7,15,0.001,64,32
22,0.78525,0.6044420575,47.1284906864,False,8,c2748_00000,2023-08-22_09-53-31,1692698011000,366.7473144531,1660649,dl,141.68.100.65,366.7473144531,8,15,0.001,64,32
23,0.7819166667,0.5979099121,48.86850667,False,9,c2748_00000,2023-08-22_09-54-19,1692698059000,415.6158211231,1660649,dl,141.68.100.65,415.6158211231,9,15,0.001,64,32
24,0.7953333333,0.5815479519,50.7795810699,False,10,c2748_00000,2023-08-22_09-55-10,1692698110000,466.3954021931,1660649,dl,141.68.100.65,466.3954021931,10,15,0.001,64,32
25,0.7984166667,0.5617650116,39.7473349571,False,11,c2748_00000,2023-08-22_09-55-50,1692698150000,506.1427371502,1660649,dl,141.68.100.65,506.1427371502,11,15,0.001,64,32
26,0.8035,0.5531011563,45.2989492416,False,12,c2748_00000,2023-08-22_09-56-35,1692698195000,551.4416863918,1660649,dl,141.68.100.65,551.4416863918,12,15,0.001,64,32
27,0.802,0.5455124308,46.5432972908,False,13,c2748_00000,2023-08-22_09-57-22,1692698242000,597.9849836826,1660649,dl,141.68.100.65,597.9849836826,13,15,0.001,64,32
28,0.8081666667,0.5339857833,44.3153855801,False,14,c2748_00000,2023-08-22_09-58-06,1692698286000,642.3003692627,1660649,dl,141.68.100.65,642.3003692627,14,15,0.001,64,32
29,0.8111666667,0.5337309665,47.3744769096,False,15,c2748_00000,2023-08-22_09-58-53,1692698333000,689.6748461723,1660649,dl,141.68.100.65,689.6748461723,15,15,0.001,64,32
30,0.44225,2.1433721679,46.4103145599,False,1,c2748_00001,2023-08-22_09-48-07,1692697687000,46.4103145599,1660650,dl,141.68.100.65,46.4103145599,1,15,0.001,64,64
31,0.6375833333,1.4994708699,44.7169523239,False,2,c2748_00001,2023-08-22_09-48-52,1692697732000,91.1272668839,1660650,dl,141.68.100.65,91.1272668839,2,15,0.001,64,64
32,0.707,0.9041209893,49.6117386818,False,3,c2748_00001,2023-08-22_09-49-41,1692697781000,140.7390055656,1660650,dl,141.68.100.65,140.7390055656,3,15,0.001,64,64
33,0.7388333333,0.734352861,49.9005081654,False,4,c2748_00001,2023-08-22_09-50-31,1692697831000,190.639513731,1660650,dl,141.68.100.65,190.639513731,4,15,0.001,64,64
34,0.761,0.6631878491,42.3507175446,False,5,c2748_00001,2023-08-22_09-51-14,1692697874000,232.9902312756,1660650,dl,141.68.100.65,232.9902312756,5,15,0.001,64,64
35,0.7744166667,0.6240396458,50.8301894665,False,6,c2748_00001,2023-08-22_09-52-05,1692697925000,283.820420742,1660650,dl,141.68.100.65,283.820420742,6,15,0.001,64,64
36,0.78175,0.6026937977,43.642567873,False,7,c2748_00001,2023-08-22_09-52-48,1692697968000,327.462988615,1660650,dl,141.68.100.65,327.462988615,7,15,0.001,64,64
37,0.79075,0.5778576892,46.6604590416,False,8,c2748_00001,2023-08-22_09-53-35,1692698015000,374.1234476566,1660650,dl,141.68.100.65,374.1234476566,8,15,0.001,64,64
38,0.7961666667,0.562302097,45.4964630604,False,9,c2748_00001,2023-08-22_09-54-20,1692698060000,419.619910717,1660650,dl,141.68.100.65,419.619910717,9,15,0.001,64,64
39,0.80675,0.5424219961,41.3331475258,False,10,c2748_00001,2023-08-22_09-55-02,1692698102000,460.9530582428,1660650,dl,141.68.100.65,460.9530582428,10,15,0.001,64,64
40,0.80975,0.5313306866,48.3919401169,False,11,c2748_00001,2023-08-22_09-55-50,1692698150000,509.3449983597,1660650,dl,141.68.100.65,509.3449983597,11,15,0.001,64,64
41,0.8139166667,0.5196654919,48.7275898457,False,12,c2748_00001,2023-08-22_09-56-39,1692698199000,558.0725882053,1660650,dl,141.68.100.65,558.0725882053,12,15,0.001,64,64
42,0.81725,0.5116360612,41.9530208111,False,13,c2748_00001,2023-08-22_09-57-21,1692698241000,600.0256090164,1660650,dl,141.68.100.65,600.0256090164,13,15,0.001,64,64
43,0.8219166667,0.5001897837,49.1934206486,False,14,c2748_00001,2023-08-22_09-58-10,1692698290000,649.219029665,1660650,dl,141.68.100.65,649.219029665,14,15,0.001,64,64
44,0.8233333333,0.4912099949,44.044066906,False,15,c2748_00001,2023-08-22_09-58-54,1692698334000,693.263096571,1660650,dl,141.68.100.65,693.263096571,15,15,0.001,64,64
45,0.5436666667,1.9368493291,56.4907460213,False,1,c2748_00003,2023-08-22_09-48-16,1692697696000,56.4907460213,1660652,dl,141.68.100.65,56.4907460213,1,15,0.001,64,256
46,0.6891666667,1.0291576769,49.0152742863,False,2,c2748_00003,2023-08-22_09-49-05,1692697745000,105.5060203075,1660652,dl,141.68.100.65,105.5060203075,2,15,0.001,64,256
47,0.74,0.7669614959,46.5944840908,False,3,c2748_00003,2023-08-22_09-49-52,1692697792000,152.1005043983,1660652,dl,141.68.100.65,152.1005043983,3,15,0.001,64,256
48,0.75975,0.688014202,45.7508347034,False,4,c2748_00003,2023-08-22_09-50-38,1692697838000,197.8513391018,1660652,dl,141.68.100.65,197.8513391018,4,15,0.001,64,256
49,0.7655,0.648128513,45.956602335,False,5,c2748_00003,2023-08-22_09-51-23,1692697883000,243.8079414368,1660652,dl,141.68.100.65,243.8079414368,5,15,0.001,64,256
