,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.8369166667,0.449399346,51.9050686359,False,1,36a3a_00044,2023-08-23_08-11-17,1692778277000,51.9050686359,3141189,dl,141.68.100.65,51.9050686359,1,5,0.0444223895,64,64
1,0.85675,0.3935747535,42.4732589722,False,2,36a3a_00044,2023-08-23_08-11-59,1692778319000,94.3783276081,3141189,dl,141.68.100.65,94.3783276081,2,5,0.0444223895,64,64
2,0.8771666667,0.3424274662,42.9987978935,False,3,36a3a_00044,2023-08-23_08-12-42,1692778362000,137.3771255016,3141189,dl,141.68.100.65,137.3771255016,3,5,0.0444223895,64,64
3,0.88775,0.3128796532,44.3237819672,False,4,36a3a_00044,2023-08-23_08-13-27,1692778407000,181.7009074688,3141189,dl,141.68.100.65,181.7009074688,4,5,0.0444223895,64,64
4,0.8725833333,0.3333376438,45.9904236794,False,5,36a3a_00044,2023-08-23_08-14-13,1692778453000,227.6913311481,3141189,dl,141.68.100.65,227.6913311481,5,5,0.0444223895,64,64
5,0.2646666667,2.272453426,49.5929558277,False,1,36a3a_00030,2023-08-23_07-35-05,1692776105000,49.5929558277,2768728,dl,141.68.100.65,49.5929558277,1,20,0.0002169243,64,64
6,0.2775833333,2.2388269204,40.3060891628,False,2,36a3a_00030,2023-08-23_07-35-46,1692776146000,89.8990449905,2768728,dl,141.68.100.65,89.8990449905,2,20,0.0002169243,64,64
7,0.3336666667,2.1957151598,44.0873558521,False,3,36a3a_00030,2023-08-23_07-36-30,1692776190000,133.9864008427,2768728,dl,141.68.100.65,133.9864008427,3,20,0.0002169243,64,64
8,0.3839166667,2.1341251959,47.1902441978,False,4,36a3a_00030,2023-08-23_07-37-17,1692776237000,181.1766450405,2768728,dl,141.68.100.65,181.1766450405,4,20,0.0002169243,64,64
9,0.4171666667,2.0452154647,47.1114397049,False,5,36a3a_00030,2023-08-23_07-38-04,1692776284000,228.2880847454,2768728,dl,141.68.100.65,228.2880847454,5,20,0.0002169243,64,64
10,0.4669166667,1.9176537788,36.523986578,False,6,36a3a_00030,2023-08-23_07-38-41,1692776321000,264.8120713234,2768728,dl,141.68.100.65,264.8120713234,6,20,0.0002169243,64,64
11,0.5310833333,1.7448731173,44.3237395287,False,7,36a3a_00030,2023-08-23_07-39-25,1692776365000,309.1358108521,2768728,dl,141.68.100.65,309.1358108521,7,20,0.0002169243,64,64
12,0.6004166667,1.539527155,43.0535852909,False,8,36a3a_00030,2023-08-23_07-40-08,1692776408000,352.189396143,2768728,dl,141.68.100.65,352.189396143,8,20,0.0002169243,64,64
13,0.6665,1.3348543149,39.4592752457,False,9,36a3a_00030,2023-08-23_07-40-48,1692776448000,391.6486713886,2768728,dl,141.68.100.65,391.6486713886,9,20,0.0002169243,64,64
14,0.6835,1.1677093766,45.0647981167,False,10,36a3a_00030,2023-08-23_07-41-33,1692776493000,436.7134695053,2768728,dl,141.68.100.65,436.7134695053,10,20,0.0002169243,64,64
15,0.7018333333,1.0458511885,45.9783558846,False,11,36a3a_00030,2023-08-23_07-42-19,1692776539000,482.6918253899,2768728,dl,141.68.100.65,482.6918253899,11,20,0.0002169243,64,64
16,0.7076666667,0.9582297349,46.572286129,False,12,36a3a_00030,2023-08-23_07-43-05,1692776585000,529.2641115189,2768728,dl,141.68.100.65,529.2641115189,12,20,0.0002169243,64,64
17,0.71675,0.8935009019,44.6024549007,False,13,36a3a_00030,2023-08-23_07-43-50,1692776630000,573.8665664196,2768728,dl,141.68.100.65,573.8665664196,13,20,0.0002169243,64,64
18,0.7255833333,0.8449315302,45.0380635262,False,14,36a3a_00030,2023-08-23_07-44-35,1692776675000,618.9046299458,2768728,dl,141.68.100.65,618.9046299458,14,20,0.0002169243,64,64
19,0.7314166667,0.8081476143,43.8826239109,False,15,36a3a_00030,2023-08-23_07-45-19,1692776719000,662.7872538567,2768728,dl,141.68.100.65,662.7872538567,15,20,0.0002169243,64,64
20,0.7354166667,0.7783972328,46.9034259319,False,16,36a3a_00030,2023-08-23_07-46-06,1692776766000,709.6906797886,2768728,dl,141.68.100.65,709.6906797886,16,20,0.0002169243,64,64
21,0.741,0.7550878442,48.9106385708,False,17,36a3a_00030,2023-08-23_07-46-55,1692776815000,758.6013183594,2768728,dl,141.68.100.65,758.6013183594,17,20,0.0002169243,64,64
22,0.7460833333,0.7370333554,54.3990273476,False,18,36a3a_00030,2023-08-23_07-47-49,1692776869000,813.0003457069,2768728,dl,141.68.100.65,813.0003457069,18,20,0.0002169243,64,64
23,0.7485833333,0.7200254541,53.1001172066,False,19,36a3a_00030,2023-08-23_07-48-42,1692776922000,866.1004629135,2768728,dl,141.68.100.65,866.1004629135,19,20,0.0002169243,64,64
24,0.7515,0.7087106579,48.1118638515,False,20,36a3a_00030,2023-08-23_07-49-30,1692776970000,914.2123267651,2768728,dl,141.68.100.65,914.2123267651,20,20,0.0002169243,64,64
25,0.2390833333,2.2699004374,53.0472407341,False,1,36a3a_00013,2023-08-23_06-56-18,1692773778000,53.0472407341,2356039,dl,141.68.100.65,53.0472407341,1,20,0.0002630238,64,64
26,0.3731666667,2.233304933,43.5571334362,False,2,36a3a_00013,2023-08-23_06-57-02,1692773822000,96.6043741703,2356039,dl,141.68.100.65,96.6043741703,2,20,0.0002630238,64,64
27,0.46675,2.1839819031,47.1505737305,False,3,36a3a_00013,2023-08-23_06-57-49,1692773869000,143.7549479008,2356039,dl,141.68.100.65,143.7549479008,3,20,0.0002630238,64,64
28,0.4881666667,2.111260513,38.5364546776,False,4,36a3a_00013,2023-08-23_06-58-27,1692773907000,182.2914025784,2356039,dl,141.68.100.65,182.2914025784,4,20,0.0002630238,64,64
29,0.5275833333,2.0006196474,40.4927647114,False,5,36a3a_00013,2023-08-23_06-59-08,1692773948000,222.7841672897,2356039,dl,141.68.100.65,222.7841672897,5,20,0.0002630238,64,64
30,0.56875,1.840286234,44.8065979481,False,6,36a3a_00013,2023-08-23_06-59-53,1692773993000,267.5907652378,2356039,dl,141.68.100.65,267.5907652378,6,20,0.0002630238,64,64
31,0.6070833333,1.630364094,43.9955551624,False,7,36a3a_00013,2023-08-23_07-00-37,1692774037000,311.5863204002,2356039,dl,141.68.100.65,311.5863204002,7,20,0.0002630238,64,64
32,0.6384166667,1.4098830274,44.1756563187,False,8,36a3a_00013,2023-08-23_07-01-21,1692774081000,355.7619767189,2356039,dl,141.68.100.65,355.7619767189,8,20,0.0002630238,64,64
33,0.6585833333,1.2301917368,43.8723006248,False,9,36a3a_00013,2023-08-23_07-02-05,1692774125000,399.6342773438,2356039,dl,141.68.100.65,399.6342773438,9,20,0.0002630238,64,64
34,0.6700833333,1.0993222331,42.0726630688,False,10,36a3a_00013,2023-08-23_07-02-47,1692774167000,441.7069404125,2356039,dl,141.68.100.65,441.7069404125,10,20,0.0002630238,64,64
35,0.6858333333,1.0055966875,42.4934020042,False,11,36a3a_00013,2023-08-23_07-03-29,1692774209000,484.2003424168,2356039,dl,141.68.100.65,484.2003424168,11,20,0.0002630238,64,64
36,0.6966666667,0.9364216084,48.1859800816,False,12,36a3a_00013,2023-08-23_07-04-17,1692774257000,532.3863224983,2356039,dl,141.68.100.65,532.3863224983,12,20,0.0002630238,64,64
37,0.7078333333,0.8845469971,47.871455431,False,13,36a3a_00013,2023-08-23_07-05-05,1692774305000,580.2577779293,2356039,dl,141.68.100.65,580.2577779293,13,20,0.0002630238,64,64
38,0.7169166667,0.8434084197,45.9061157703,False,14,36a3a_00013,2023-08-23_07-05-51,1692774351000,626.1638936996,2356039,dl,141.68.100.65,626.1638936996,14,20,0.0002630238,64,64
39,0.7246666667,0.8118579264,44.1523983479,False,15,36a3a_00013,2023-08-23_07-06-35,1692774395000,670.3162920475,2356039,dl,141.68.100.65,670.3162920475,15,20,0.0002630238,64,64
40,0.7301666667,0.7843206182,45.9368228912,False,16,36a3a_00013,2023-08-23_07-07-21,1692774441000,716.2531149387,2356039,dl,141.68.100.65,716.2531149387,16,20,0.0002630238,64,64
41,0.73475,0.7616801205,44.6051323414,False,17,36a3a_00013,2023-08-23_07-08-06,1692774486000,760.8582472801,2356039,dl,141.68.100.65,760.8582472801,17,20,0.0002630238,64,64
42,0.74475,0.7412937528,48.9673144817,False,18,36a3a_00013,2023-08-23_07-08-55,1692774535000,809.8255617619,2356039,dl,141.68.100.65,809.8255617619,18,20,0.0002630238,64,64
43,0.7493333333,0.7239447968,46.3706197739,False,19,36a3a_00013,2023-08-23_07-09-41,1692774581000,856.1961815357,2356039,dl,141.68.100.65,856.1961815357,19,20,0.0002630238,64,64
44,0.7534166667,0.7080757848,45.773389101,False,20,36a3a_00013,2023-08-23_07-10-27,1692774627000,901.9695706367,2356039,dl,141.68.100.65,901.9695706367,20,20,0.0002630238,64,64
45,0.73025,0.7771350408,49.3128356934,False,1,36a3a_00020,2023-08-23_07-14-15,1692774855000,49.3128356934,2549287,dl,141.68.100.65,49.3128356934,1,15,0.0034498598,64,64
46,0.78325,0.6100205976,42.6428191662,False,2,36a3a_00020,2023-08-23_07-14-57,1692774897000,91.9556548595,2549287,dl,141.68.100.65,91.9556548595,2,15,0.0034498598,64,64
47,0.8029166667,0.5452937772,40.4507846832,False,3,36a3a_00020,2023-08-23_07-15-38,1692774938000,132.4064395428,2549287,dl,141.68.100.65,132.4064395428,3,15,0.0034498598,64,64
48,0.811,0.5141584618,43.6308441162,False,4,36a3a_00020,2023-08-23_07-16-22,1692774982000,176.037283659,2549287,dl,141.68.100.65,176.037283659,4,15,0.0034498598,64,64
49,0.8230833333,0.4854581968,42.9185311794,False,5,36a3a_00020,2023-08-23_07-17-04,1692775024000,218.9558148384,2549287,dl,141.68.100.65,218.9558148384,5,15,0.0034498598,64,64
50,0.83075,0.4635511549,40.9081366062,False,6,36a3a_00020,2023-08-23_07-17-45,1692775065000,259.8639514446,2549287,dl,141.68.100.65,259.8639514446,6,15,0.0034498598,64,64
51,0.8406666667,0.4400520133,34.3188734055,False,7,36a3a_00020,2023-08-23_07-18-20,1692775100000,294.1828248501,2549287,dl,141.68.100.65,294.1828248501,7,15,0.0034498598,64,64
52,0.8503333333,0.4216167324,41.5632710457,False,8,36a3a_00020,2023-08-23_07-19-01,1692775141000,335.7460958958,2549287,dl,141.68.100.65,335.7460958958,8,15,0.0034498598,64,64
53,0.85075,0.4164528852,50.3243522644,False,9,36a3a_00020,2023-08-23_07-19-52,1692775192000,386.0704481602,2549287,dl,141.68.100.65,386.0704481602,9,15,0.0034498598,64,64
54,0.8525833333,0.4096306967,54.4620349407,False,10,36a3a_00020,2023-08-23_07-20-46,1692775246000,440.5324831009,2549287,dl,141.68.100.65,440.5324831009,10,15,0.0034498598,64,64
55,0.8590833333,0.3930113943,50.5437524319,False,11,36a3a_00020,2023-08-23_07-21-37,1692775297000,491.0762355328,2549287,dl,141.68.100.65,491.0762355328,11,15,0.0034498598,64,64
56,0.8488333333,0.4037242684,46.9381506443,False,12,36a3a_00020,2023-08-23_07-22-24,1692775344000,538.0143861771,2549287,dl,141.68.100.65,538.0143861771,12,15,0.0034498598,64,64
