,config.l1,config.learning_rate,config.batch_size,config.epochs,mean_val_loss
0,64,0.0020267171913858,32,15,0.5759122911492983
1,128,0.004246026438410785,32,20,0.4060308618545532
2,64,0.009119006233819926,64,10,0.5229699221452078
3,32,0.008798374666258655,64,10,0.5139238899548848
4,64,0.0008604108932796454,32,15,0.6359753155708313
5,128,0.0058757550466916626,16,15,0.4059592525015275
6,128,0.00404525403240737,128,5,0.7053824060774864
7,32,0.007400721334321891,16,15,0.3962488727072875
8,256,0.00617253384356914,64,10,0.508835744857788
9,256,0.002213430504284701,64,10,0.6216636574268342
10,32,0.006024599148899312,16,20,0.4073153241773446
11,64,0.00700526999904166,16,15,0.39661281074707705
12,32,0.006934093044322426,16,15,0.397765070968618
13,256,0.007053827130753023,16,15,0.4451770160446564
14,128,0.005251832881346148,16,20,0.3822743198287984
15,128,0.0054444114985384975,16,20,0.38621121629172317
16,128,0.004695232763271579,16,20,0.40277282149965565
17,128,0.006018734477078768,128,20,0.5119527916007853
18,128,0.006035549692436319,32,20,0.39300183695554736
19,128,0.005920798683648213,16,20,0.3950286384100715
20,128,0.005545249262017572,16,20,0.36291533775255086
21,256,0.005609359011591317,16,20,0.37963293822233873
22,256,0.005619545552256646,16,20,0.37849196715777117
23,256,0.0056279377918646315,16,20,0.38485281793028114
24,256,0.005612845838991952,16,20,0.3813221715303759
25,256,0.005613674625164823,16,20,0.4073553856089711
26,128,0.005593475103717415,16,20,0.4213594609598319
27,256,0.0054685794161857156,16,20,0.3739684657690426
28,256,0.005447214449844201,16,20,0.445630607051154
29,128,0.005618385205729867,16,20,0.38295037401715915
30,128,0.005621144518912152,16,20,0.3920247434924046
31,128,0.005608697200286208,16,20,0.3807626577305297
32,128,0.005614822545104441,16,20,0.38682335618635016
33,128,0.005616874642743881,16,20,0.4212082803597053
34,128,0.00558857245208052,16,20,0.3765010030294458
35,128,0.005588615528734137,16,20,0.39193386866897345
36,128,0.005586116603448835,16,20,0.3893654526720444
37,128,0.0055810378608471805,16,20,0.38707894324262937
38,128,0.005580679615087749,16,20,0.4073000556528568
39,128,0.005580642455922889,16,20,0.3897155545577407
40,128,0.005576126407807518,16,20,0.3832026854753494
41,128,0.00557366411299827,16,20,0.3833843208750089
42,128,0.005573381593644711,16,20,0.39541798128311834
43,128,0.0055723287227120565,16,20,0.3733893982047836
44,128,0.005572111375047887,16,20,0.384747428988417
45,128,0.005572802450108609,16,20,0.365604064549009
46,128,0.005574935183943743,16,20,0.39604900736858445
47,128,0.00557362039759488,16,20,0.3867649559999506
48,128,0.005575823814174429,16,20,0.391050850464652
49,128,0.005576156629759068,16,20,0.3933003727433582
50,128,0.005576215563021711,16,20,0.41091951069794597
51,128,0.005569224857964101,16,20,0.3929389761102696
52,128,0.005569234217144256,16,20,0.39926152981072666
53,128,0.005569241905438748,16,20,0.3854302634236713
54,128,0.005569250148844756,16,20,0.3936081617673238
55,128,0.005569260718168015,16,20,0.3849343272137145
56,128,0.005574542408536712,16,20,0.39880449964354436
57,128,0.005569257720565829,16,20,0.4003712669610977
58,128,0.005572429522468743,16,20,0.3611888510261973
59,128,0.0055738716970605215,16,20,0.39490666627883914
60,128,0.005573010265249756,16,20,0.40089767353236677
61,128,0.0055692612066661484,16,20,0.38945832139005265
62,128,0.0055724993213994625,16,20,0.38098131196945906
63,128,0.005575190045232717,16,20,0.41174665349721906
64,128,0.005569224613715035,16,20,0.37534079234922924
65,128,0.005569332719355488,16,20,0.382813313168784
66,128,0.005570356823437371,16,20,0.38089699737355115
67,128,0.005571930495064561,16,20,0.37752073938399555
