,name,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,overall
0,e6_reps,82.0,98.0,80.60000000000001,94.3,89.60000000000001,97.89999999999999,77.7,98.1,98.3,96.89999999999999,0.9134
1,e6_reps,91.60000000000001,99.0,90.0,91.10000000000001,84.6,98.2,69.1,97.2,98.0,96.39999999999999,0.9152
2,e6_reps,89.3,99.1,84.89999999999999,93.2,91.7,97.39999999999999,68.2,94.69999999999999,98.5,97.5,0.9145
3,e6_reps,90.5,98.4,91.3,92.7,74.6,96.39999999999999,71.39999999999999,92.9,97.1,98.3,0.9036
4,e6_reps,89.4,98.2,85.0,88.5,87.8,99.2,75.5,96.1,98.7,96.2,0.9146
5,e6_reps,89.8,99.1,93.5,92.10000000000001,83.0,97.5,60.099999999999994,93.60000000000001,98.5,98.5,0.9057
6,e6_reps,84.1,97.6,71.3,92.80000000000001,92.60000000000001,99.2,80.60000000000001,95.7,98.3,97.0,0.9092
7,e6_reps,75.4,98.2,86.7,92.9,81.69999999999999,97.8,82.39999999999999,98.2,98.4,94.89999999999999,0.9066
8,e6_reps,72.1,98.9,68.5,89.3,84.89999999999999,99.4,88.3,96.6,98.0,95.39999999999999,0.8914
9,e6_reps,86.5,98.0,90.5,92.9,86.9,96.89999999999999,67.0,98.7,97.89999999999999,94.89999999999999,0.9102
10,e6_reps,87.2,99.1,91.0,92.7,78.2,98.2,76.7,97.5,98.8,95.8,0.9152
11,e6_reps,90.0,98.3,84.1,94.6,90.4,99.5,68.2,96.6,98.4,95.1,0.9152
12,e6_reps,91.0,98.9,84.3,88.5,92.60000000000001,98.4,69.3,98.6,98.2,95.89999999999999,0.9157
13,e6_reps,90.4,98.6,88.5,94.19999999999999,87.9,97.0,66.9,98.6,98.5,95.89999999999999,0.9165
14,e6_reps,87.4,98.7,89.4,90.60000000000001,86.2,98.5,72.39999999999999,98.4,98.8,94.19999999999999,0.9146
15,e6_reps,87.2,99.0,83.7,94.0,89.4,98.2,74.0,98.7,97.5,92.9,0.9146
16,e6_reps,82.19999999999999,99.1,91.7,90.5,87.4,96.39999999999999,71.39999999999999,99.2,98.6,94.19999999999999,0.9107
17,e6_reps,85.5,97.8,82.6,91.60000000000001,88.0,98.7,78.4,98.1,97.5,95.7,0.9139
18,e6_reps,84.3,97.8,77.60000000000001,93.5,89.60000000000001,99.2,79.80000000000001,98.1,95.7,93.4,0.909
19,e6_reps,84.7,98.4,90.3,95.1,78.10000000000001,96.6,75.4,95.7,98.2,97.6,0.9101
