,name,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,overall
0,e8-1_reps,84.0,98.8,88.6,93.4,90.60000000000001,97.6,68.7,99.0,98.1,92.5,0.9113
1,e8-1_reps,81.3,98.7,81.10000000000001,92.80000000000001,92.0,98.5,74.2,97.39999999999999,98.3,97.2,0.9115
2,e8-1_reps,87.2,98.7,88.6,93.7,89.1,98.8,71.1,97.0,98.2,97.2,0.9196
3,e8-1_reps,87.1,98.5,83.3,86.5,95.0,98.5,72.3,97.8,98.6,96.2,0.9138
4,e8-1_reps,91.3,98.4,85.7,91.7,91.8,97.7,67.80000000000001,98.5,98.8,94.3,0.916
5,e8-1_reps,79.2,98.9,89.8,90.60000000000001,82.0,98.3,83.6,96.0,98.5,97.6,0.9145
6,e8-1_reps,88.1,99.0,89.60000000000001,92.2,86.4,98.1,75.8,97.8,99.2,97.2,0.9234
7,e8-1_reps,90.5,99.4,88.7,91.7,90.8,98.4,65.5,97.2,98.7,97.0,0.9179
8,e8-1_reps,87.9,97.8,88.0,90.5,93.4,98.9,67.9,95.8,98.9,97.7,0.9168
9,e8-1_reps,89.9,98.6,87.4,91.5,89.1,98.8,73.2,95.19999999999999,98.5,98.2,0.9204
10,e8-1_reps,92.30000000000001,98.9,93.30000000000001,90.2,81.69999999999999,98.1,63.1,90.8,98.1,98.5,0.905
11,e8-1_reps,89.2,98.3,86.4,94.39999999999999,87.2,98.6,73.1,98.8,98.6,95.39999999999999,0.92
12,e8-1_reps,82.6,98.7,91.2,87.2,89.3,98.5,75.0,98.2,99.2,96.0,0.9159
13,e8-1_reps,89.0,97.5,89.1,93.7,84.0,99.0,72.2,97.6,98.2,95.89999999999999,0.9162
14,e8-1_reps,85.7,98.7,87.9,93.0,91.7,98.1,66.9,95.7,98.2,97.8,0.9137
15,e8-1_reps,90.3,98.1,88.8,93.7,85.6,98.1,74.1,98.5,98.7,95.3,0.9212
16,e8-1_reps,84.1,99.1,88.8,91.4,88.6,98.3,75.2,97.39999999999999,98.3,97.2,0.9184
17,e8-1_reps,82.5,97.89999999999999,92.10000000000001,93.5,79.5,98.8,77.4,95.0,97.3,98.0,0.912
18,e8-1_reps,81.6,98.2,82.6,92.60000000000001,91.5,98.2,76.5,96.8,98.6,96.89999999999999,0.9135
19,e8-1_reps,85.0,98.8,84.89999999999999,91.60000000000001,91.10000000000001,98.9,79.2,99.2,98.1,94.1,0.9209
