,name,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,overall
0,e6-1_reps,87.4,97.89999999999999,90.2,92.80000000000001,86.8,97.89999999999999,71.0,98.7,97.89999999999999,95.5,0.9161
1,e6-1_reps,77.4,98.7,82.5,91.10000000000001,87.6,98.8,78.7,96.1,97.7,97.2,0.9058
2,e6-1_reps,85.0,98.1,85.8,90.9,81.10000000000001,96.5,74.4,95.89999999999999,98.4,97.5,0.9036
3,e6-1_reps,83.8,97.8,79.2,89.9,91.4,97.6,69.89999999999999,98.3,98.5,96.0,0.9024
4,e6-1_reps,89.8,98.7,89.9,89.8,80.0,97.6,71.2,98.5,98.5,94.39999999999999,0.9084
5,e6-1_reps,82.89999999999999,98.2,87.4,88.6,83.1,97.0,78.0,97.2,96.0,96.2,0.9046
6,e6-1_reps,83.5,98.8,83.5,91.10000000000001,87.8,97.6,75.1,96.89999999999999,97.5,97.5,0.9093
7,e6-1_reps,84.8,98.6,84.2,88.8,86.0,98.1,78.2,94.69999999999999,95.6,97.6,0.9066
8,e6-1_reps,83.89999999999999,98.2,88.5,93.4,80.80000000000001,96.89999999999999,73.7,97.6,97.7,96.5,0.9072
9,e6-1_reps,83.6,98.6,86.8,91.4,85.9,99.0,74.5,95.89999999999999,98.3,96.5,0.9105
10,e6-1_reps,83.0,98.3,84.7,93.2,87.1,97.89999999999999,76.9,95.89999999999999,98.4,96.8,0.9122
11,e6-1_reps,86.8,97.8,92.10000000000001,93.5,80.30000000000001,97.6,63.4,97.7,98.5,96.5,0.9042
12,e6-1_reps,87.7,98.0,85.8,90.9,85.6,97.1,74.6,98.4,97.3,96.3,0.9117
13,e6-1_reps,85.9,98.4,88.2,89.0,81.39999999999999,99.1,77.2,96.5,97.89999999999999,95.0,0.9086
14,e6-1_reps,83.8,97.39999999999999,86.3,90.9,84.89999999999999,96.8,75.6,98.7,98.3,93.7,0.9064
15,e6-1_reps,83.2,98.6,86.6,92.5,85.2,97.89999999999999,77.2,95.8,97.7,97.1,0.9118
16,e6-1_reps,82.8,98.0,83.7,90.0,84.2,99.0,78.7,94.8,98.2,97.39999999999999,0.9068
17,e6-1_reps,86.9,98.3,86.7,90.8,85.0,98.3,69.0,98.6,97.89999999999999,95.89999999999999,0.9074
18,e6-1_reps,87.1,99.1,81.6,92.0,81.69999999999999,96.8,73.9,97.5,97.8,96.8,0.9043
19,e6-1_reps,82.8,98.6,87.8,88.6,83.89999999999999,98.3,79.9,97.39999999999999,98.7,96.3,0.9123
