mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.36041666666666666,2.208800531448202,26.956286191940308,False,1,4609f_00015,2023-08-22_12-43-58,1692708238,26.956286191940308,3227487,dl,141.68.100.65,26.956286191940308,1
0.5475833333333333,2.0278954264965465,19.044439792633057,False,2,4609f_00015,2023-08-22_12-44-17,1692708257,46.000725984573364,3227487,dl,141.68.100.65,46.000725984573364,2
0.6215,1.6605086669008782,18.59992742538452,False,3,4609f_00015,2023-08-22_12-44-35,1692708275,64.60065340995789,3227487,dl,141.68.100.65,64.60065340995789,3
0.6736666666666666,1.228145811151951,20.09571647644043,False,4,4609f_00015,2023-08-22_12-44-56,1692708296,84.69636988639832,3227487,dl,141.68.100.65,84.69636988639832,4
0.7076666666666667,0.964112308431179,21.545166730880737,False,5,4609f_00015,2023-08-22_12-45-17,1692708317,106.24153661727905,3227487,dl,141.68.100.65,106.24153661727905,5
0.7276666666666667,0.8264708049753879,18.510024785995483,False,6,4609f_00015,2023-08-22_12-45-36,1692708336,124.75156140327454,3227487,dl,141.68.100.65,124.75156140327454,6
0.7423333333333333,0.7515669300201091,18.38601851463318,False,7,4609f_00015,2023-08-22_12-45-54,1692708354,143.13757991790771,3227487,dl,141.68.100.65,143.13757991790771,7
0.7533333333333333,0.7025475096195302,20.837192058563232,False,8,4609f_00015,2023-08-22_12-46-15,1692708375,163.97477197647095,3227487,dl,141.68.100.65,163.97477197647095,8
0.7591666666666667,0.6730457740895291,18.724328994750977,False,9,4609f_00015,2023-08-22_12-46-34,1692708394,182.69910097122192,3227487,dl,141.68.100.65,182.69910097122192,9
0.7666666666666667,0.6509570514268064,19.77173137664795,False,10,4609f_00015,2023-08-22_12-46-53,1692708413,202.47083234786987,3227487,dl,141.68.100.65,202.47083234786987,10
0.7696666666666667,0.6332906503626641,20.243074417114258,False,11,4609f_00015,2023-08-22_12-47-14,1692708434,222.71390676498413,3227487,dl,141.68.100.65,222.71390676498413,11
0.776,0.6183501399577932,20.116525173187256,False,12,4609f_00015,2023-08-22_12-47-34,1692708454,242.8304319381714,3227487,dl,141.68.100.65,242.8304319381714,12
0.7800833333333334,0.6067901469291525,19.67002582550049,False,13,4609f_00015,2023-08-22_12-47-53,1692708473,262.5004577636719,3227487,dl,141.68.100.65,262.5004577636719,13
0.7820833333333334,0.5957593160106781,19.153836965560913,False,14,4609f_00015,2023-08-22_12-48-13,1692708493,281.6542947292328,3227487,dl,141.68.100.65,281.6542947292328,14
0.7878333333333334,0.5868881091158441,19.622435331344604,False,15,4609f_00015,2023-08-22_12-48-32,1692708512,301.2767300605774,3227487,dl,141.68.100.65,301.2767300605774,15
0.7925,0.580894686440204,18.70256519317627,False,16,4609f_00015,2023-08-22_12-48-51,1692708531,319.97929525375366,3227487,dl,141.68.100.65,319.97929525375366,16
0.797,0.5667025992210876,20.96088409423828,False,17,4609f_00015,2023-08-22_12-49-12,1692708552,340.94017934799194,3227487,dl,141.68.100.65,340.94017934799194,17
0.7969166666666667,0.5610159213872666,20.899662256240845,False,18,4609f_00015,2023-08-22_12-49-33,1692708573,361.8398416042328,3227487,dl,141.68.100.65,361.8398416042328,18
0.79575,0.5552379698195355,19.55886149406433,False,19,4609f_00015,2023-08-22_12-49-52,1692708592,381.3987030982971,3227487,dl,141.68.100.65,381.3987030982971,19
0.80475,0.5484613275274317,19.696027278900146,False,20,4609f_00015,2023-08-22_12-50-12,1692708612,401.09473037719727,3227487,dl,141.68.100.65,401.09473037719727,20
